"Sample name","Sample accession","Lane name","Lane accession"
DASSIM7486811,ERS2493389,26141_1#134,ERR3425924
DASSIM7486812,ERS2493390,26141_1#135,ERR3425925
DASSIM7486813,ERS2493391,26141_1#136,ERR3425926
DASSIM7486814,ERS2493392,26141_1#137,ERR3425927
DASSIM7486815,ERS2493393,26141_1#138,ERR3425928
DASSIM7486816,ERS2493394,26141_1#139,ERR3425929
DASSIM7486817,ERS2493395,26141_1#140,ERR3425930
DASSIM7486818,ERS2493396,26141_1#141,ERR3425931
DASSIM7486819,ERS2493397,26141_1#142,ERR3425932
DASSIM7486820,ERS2493398,26141_1#143,ERR3425933
DASSIM7486821,ERS2493399,26141_1#144,ERR3425934
DASSIM7486822,ERS2493400,26141_1#145,ERR3425935
DASSIM7486823,ERS2493401,26141_1#146,ERR3425936
DASSIM7486824,ERS2493402,26141_1#147,ERR3425937
DASSIM7486825,ERS2493403,26141_1#148,ERR3425938
DASSIM7486826,ERS2493404,26141_1#149,ERR3425939
DASSIM7486828,ERS2493405,26141_1#150,ERR3425940
DASSIM7486829,ERS2493406,26141_1#151,ERR3425941
DASSIM7486830,ERS2493407,26141_1#152,ERR3425942
DASSIM7486831,ERS2493408,26141_1#153,ERR3425943
DASSIM7486832,ERS2493409,26141_1#154,ERR3425944
DASSIM7486833,ERS2493410,26141_1#155,ERR3425945
DASSIM7486834,ERS2493411,26141_1#156,ERR3425946
DASSIM7486835,ERS2493412,26141_1#157,ERR3425947
DASSIM7486836,ERS2493413,26141_1#158,ERR3425948
DASSIM7486837,ERS2493414,26141_1#159,ERR3425949
DASSIM7486838,ERS2493415,26141_1#160,ERR3425950
DASSIM7486840,ERS2493416,26141_1#161,ERR3425951
DASSIM7486841,ERS2493417,26141_1#162,ERR3425952
DASSIM7486843,ERS2493419,26141_1#164,ERR3425954
DASSIM7486844,ERS2493420,26141_1#165,ERR3425955
DASSIM7486846,ERS2493421,26141_1#166,ERR3425956
DASSIM7486848,ERS2493423,26141_1#168,ERR3425958
DASSIM7486849,ERS2493424,26141_1#169,ERR3425959
DASSIM7486850,ERS2493425,26141_1#170,ERR3425960
DASSIM7486851,ERS2493426,26141_1#171,ERR3425961
DASSIM7486852,ERS2493427,26141_1#172,ERR3425962
DASSIM7486853,ERS2493428,26141_1#173,ERR3425963
DASSIM7486854,ERS2493429,26141_1#174,ERR3425964
DASSIM7486855,ERS2493430,26141_1#175,ERR3425965
DASSIM7486856,ERS2493431,26141_1#176,ERR3425966
DASSIM7486857,ERS2493432,26141_1#177,ERR3425967
DASSIM7486858,ERS2493433,26141_1#178,ERR3425968
DASSIM7486859,ERS2493434,26141_1#179,ERR3425969
DASSIM7486860,ERS2493435,26141_1#180,ERR3425970
DASSIM7486861,ERS2493436,26141_1#181,ERR3425971
DASSIM7486862,ERS2493437,26141_1#182,ERR3425972
DASSIM7486863,ERS2493438,26141_1#183,ERR3425973
DASSIM7486864,ERS2493439,26141_1#184,ERR3425974
DASSIM7486866,ERS2493441,26141_1#186,ERR3425976
DASSIM7486867,ERS2493442,26141_1#187,ERR3425977
DASSIM7486869,ERS2493444,26141_1#189,ERR3425979
DASSIM7486870,ERS2493445,26141_1#190,ERR3425980
DASSIM7486871,ERS2493446,26141_1#191,ERR3425981
DASSIM7486872,ERS2493447,26141_1#192,ERR3425982
DASSIM7486873,ERS2493448,26141_1#193,ERR3425983
DASSIM7486874,ERS2493449,26141_1#194,ERR3425984
DASSIM7486875,ERS2493450,26141_1#195,ERR3425985
DASSIM7486876,ERS2493451,26141_1#196,ERR3425986
DASSIM7486877,ERS2493452,26141_1#197,ERR3425987
DASSIM7486878,ERS2493453,26141_1#198,ERR3425988
DASSIM7486879,ERS2493454,26141_1#199,ERR3425989
DASSIM7486881,ERS2493456,26141_1#200,ERR3425990
DASSIM7486882,ERS2493457,26141_1#201,ERR3425991
DASSIM7486883,ERS2493458,26141_1#202,ERR3425992
DASSIM7486884,ERS2493459,26141_1#203,ERR3425993
DASSIM7486885,ERS2493460,26141_1#204,ERR3425994
DASSIM7486886,ERS2493461,26141_1#205,ERR3425995
DASSIM7486888,ERS2493463,26141_1#206,ERR3425996
DASSIM7486889,ERS2493464,26141_1#207,ERR3425997
DASSIM7486890,ERS2493465,26141_1#208,ERR3425998
DASSIM7486892,ERS2493466,26141_1#209,ERR3425999
DASSIM7486894,ERS2493468,26141_1#210,ERR3426000
DASSIM7486895,ERS2493469,26141_1#211,ERR3426001
DASSIM7486896,ERS2493470,26141_1#212,ERR3426002
DASSIM7486897,ERS2493471,26141_1#213,ERR3426003
DASSIM7486898,ERS2493472,26141_1#214,ERR3426004
DASSIM7486899,ERS2493473,26141_1#215,ERR3426005
DASSIM7486901,ERS2493475,26141_1#217,ERR3426007
DASSIM7486902,ERS2493476,26141_1#218,ERR3426008
DASSIM7486903,ERS2493477,26141_1#219,ERR3426009
DASSIM7486904,ERS2493478,26141_1#220,ERR3426010
DASSIM7486905,ERS2493479,26141_1#221,ERR3426011
DASSIM7486906,ERS2493480,26141_1#222,ERR3426012
DASSIM7486907,ERS2493481,26141_1#223,ERR3426013
DASSIM7486909,ERS2493483,26141_1#224,ERR3426014
DASSIM7486910,ERS2493484,26141_1#225,ERR3426015
DASSIM7486911,ERS2493485,26141_1#226,ERR3426016
DASSIM7486912,ERS2493486,26141_1#227,ERR3426017
DASSIM7486913,ERS2493487,26141_1#228,ERR3426018
DASSIM7486914,ERS2493488,26141_1#229,ERR3426019
DASSIM7486915,ERS2493489,26141_1#230,ERR3426020
DASSIM7486917,ERS2493491,26141_1#232,ERR3426022
DASSIM7486921,ERS2493508,26141_1#236,ERR3426026
DASSIM7486922,ERS2493509,26141_1#237,ERR3426027
DASSIM7486924,ERS2493511,26141_1#239,ERR3426029
DASSIM7486925,ERS2493512,26141_1#240,ERR3426030
DASSIM7486926,ERS2493513,26141_1#241,ERR3426031
DASSIM7486928,ERS2493515,26141_1#242,ERR3426032
DASSIM7486929,ERS2493516,26141_1#243,ERR3426033
DASSIM7486930,ERS2493517,26141_1#244,ERR3426034
DASSIM7486932,ERS2493519,26141_1#246,ERR3426036
DASSIM7486933,ERS2493520,26141_1#247,ERR3426037
DASSIM7486934,ERS2493521,26141_1#248,ERR3426038
DASSIM7486936,ERS2493495,26141_1#250,ERR3426040
DASSIM7486937,ERS2493496,26141_1#251,ERR3426041
DASSIM7486938,ERS2493497,26141_1#252,ERR3426042
DASSIM7486939,ERS2493498,26141_1#253,ERR3426043
DASSIM7486940,ERS2493499,26141_1#254,ERR3426044
DASSIM7486942,ERS2493501,26141_1#255,ERR3426045
DASSIM7486943,ERS2493502,26141_1#256,ERR3426046
DASSIM7486944,ERS2493503,26141_1#257,ERR3426047
DASSIM7486945,ERS2493504,26141_1#258,ERR3426048
DASSIM7486946,ERS2493505,26141_1#259,ERR3426049
DASSIM7486947,ERS2493506,26141_1#260,ERR3426050
DASSIM7486948,ERS2493522,26141_1#261,ERR3426051
DASSIM7486949,ERS2493523,26141_1#262,ERR3426052
DASSIM7486950,ERS2493524,26141_1#263,ERR3426053
DASSIM7486952,ERS2493526,26141_1#265,ERR3426055
DASSIM7486953,ERS2493527,26141_1#266,ERR3426056
DASSIM7486954,ERS2493528,26141_1#267,ERR3426057
DASSIM7486955,ERS2493529,26141_1#268,ERR3426058
DASSIM7486957,ERS2493531,26141_1#270,ERR3426060
DASSIM7486958,ERS2493532,26141_1#271,ERR3426061
DASSIM7486959,ERS2493533,26141_1#272,ERR3426062
DASSIM7486960,ERS2493534,26141_1#273,ERR3426063
DASSIM7486963,ERS2493537,26141_1#274,ERR3426064
DASSIM7486964,ERS2493538,26141_1#275,ERR3426065
DASSIM7486965,ERS2493539,26141_1#276,ERR3426066
DASSIM7486966,ERS2493540,26141_1#277,ERR3426067
DASSIM7486967,ERS2493541,26141_1#278,ERR3426068
DASSIM7486968,ERS2493542,26141_1#279,ERR3426069
DASSIM7486969,ERS2493543,26141_1#280,ERR3426070
DASSIM7486971,ERS2493545,26141_1#282,ERR3426072
DASSIM7486972,ERS2493546,26141_1#283,ERR3426073
DASSIM7486973,ERS2493547,26141_1#284,ERR3168700
DASSIM7486974,ERS2493548,26141_1#285,ERR3426074
DASSIM7486975,ERS2493549,26141_1#286,ERR3426075
DASSIM7486976,ERS2493550,26141_1#287,ERR3426076
DASSIM7486977,ERS2493551,26141_1#288,ERR3426077
DASSIM7486978,ERS2493552,26141_1#289,ERR3426078
DASSIM7486979,ERS2493553,26141_1#290,ERR3426079
DASSIM7486980,ERS2493554,26141_1#291,ERR3426080
DASSIM7486981,ERS2493555,26141_1#292,ERR3426081
DASSIM7486982,ERS2493556,26141_1#293,ERR3426082
DASSIM7486984,ERS2493558,26141_1#295,ERR3426084
DASSIM7486986,ERS2493560,26141_1#296,ERR3426085
DASSIM7486987,ERS2493561,26141_1#297,ERR3426086
DASSIM7486989,ERS2493563,26141_1#298,ERR3426087
DASSIM7486990,ERS2493564,26141_1#299,ERR3426088
DASSSIM27647386,ERS2855095,28099_1#1,ERR3865252
DASSSIM27647484,ERS2855192,28099_1#2,ERR3865253
DASSSIM27647485,ERS2855193,28099_1#7,ERR3865255
DASSSIM27647388,ERS2855097,28099_1#10,ERR3865256
DASSSIM27647486,ERS2855194,28099_1#11,ERR3865257
DASSSIM27647389,ERS2855098,28099_1#14,ERR3865258
DASSSIM27647390,ERS2855099,28099_1#18,ERR3865259
DASSSIM27647488,ERS2855195,28099_1#19,ERR3865260
DASSSIM27647391,ERS2855100,28099_1#22,ERR3865261
DASSSIM27647489,ERS2855196,28099_1#23,ERR3865262
DASSSIM27647392,ERS2855101,28099_1#26,ERR3865263
DASSSIM27647490,ERS2855197,28099_1#27,ERR3865264
DASSSIM27647393,ERS2855102,28099_1#30,ERR3865265
DASSSIM27647491,ERS2855198,28099_1#31,ERR3865266
DASSSIM27647394,ERS2855103,28099_1#34,ERR3865267
DASSSIM27647492,ERS2855199,28099_1#35,ERR3865268
DASSSIM27647395,ERS2855104,28099_1#38,ERR3865269
