"ST","lane"
"46","26141_1_134"
"46","26141_1_135"
"46","26141_1_136"
"131","26141_1_137"
"167","26141_1_138"
"131","26141_1_139"
"44","26141_1_140"
"Novel","26141_1_141"
"636","26141_1_142"
"636","26141_1_143"
"10","26141_1_144"
"46","26141_1_145"
"656","26141_1_146"
"656","26141_1_147"
"443","26141_1_148"
"1237","26141_1_149"
"131","26141_1_150"
"131","26141_1_151"
"410","26141_1_152"
"131","26141_1_153"
"101","26141_1_154"
"443","26141_1_155"
"131","26141_1_156"
"410","26141_1_157"
"391","26141_1_158"
"44","26141_1_159"
"636","26141_1_160"
"44","26141_1_161"
"617","26141_1_162"
"46","26141_1_164"
"46","26141_1_165"
"131","26141_1_166"
"636","26141_1_168"
"44","26141_1_169"
"410","26141_1_170"
"410","26141_1_171"
"131","26141_1_172"
"131","26141_1_173"
"131","26141_1_174"
"3489","26141_1_175"
"4981","26141_1_176"
"1722","26141_1_177"
"44","26141_1_178"
"167","26141_1_179"
"1722","26141_1_180"
"410","26141_1_181"
"167","26141_1_182"
"656","26141_1_183"
"3580","26141_1_184"
"354","26141_1_186"
"167","26141_1_187"
"648","26141_1_189"
"648","26141_1_190"
"38","26141_1_191"
"3168","26141_1_192"
"3168","26141_1_193"
"636","26141_1_194"
"44","26141_1_195"
"2705","26141_1_196"
"636","26141_1_197"
"636","26141_1_198"
"636","26141_1_199"
"636","26141_1_200"
"410","26141_1_201"
"73","26141_1_202"
"656","26141_1_203"
"46","26141_1_204"
"46","26141_1_205"
"648","26141_1_206"
"167","26141_1_207"
"5824","26141_1_208"
"410","26141_1_209"
"648","26141_1_210"
"131","26141_1_211"
"46","26141_1_212"
"656","26141_1_213"
"940","26141_1_214"
"1722","26141_1_215"
"131","26141_1_217"
"167","26141_1_218"
"648","26141_1_219"
"34","26141_1_220"
"44","26141_1_221"
"405","26141_1_222"
"405","26141_1_223"
"636","26141_1_224"
"656","26141_1_225"
"940","26141_1_226"
"131","26141_1_227"
"131","26141_1_228"
"656","26141_1_229"
"517","26141_1_230"
"648","26141_1_232"
"167","26141_1_236"
"131","26141_1_237"
"Novel","26141_1_239"
"424","26141_1_240"
"1722","26141_1_241"
"44","26141_1_242"
"354","26141_1_243"
"617","26141_1_244"
"354","26141_1_246"
"617","26141_1_247"
"46","26141_1_248"
"167","26141_1_250"
"167","26141_1_251"
"46","26141_1_252"
"219","26141_1_253"
"44","26141_1_254"
"131","26141_1_255"
"46","26141_1_256"
"131","26141_1_257"
"410","26141_1_258"
"48","26141_1_259"
"167","26141_1_260"
"1722","26141_1_261"
"656","26141_1_262"
"1722","26141_1_263"
"1722","26141_1_265"
"219","26141_1_266"
"648","26141_1_267"
"648","26141_1_268"
"617","26141_1_270"
"636","26141_1_271"
"405","26141_1_272"
"405","26141_1_273"
"46","26141_1_274"
"1722","26141_1_275"
"38","26141_1_276"
"131","26141_1_277"
"131","26141_1_278"
"131","26141_1_279"
"131","26141_1_280"
"1722","26141_1_282"
"191","26141_1_283"
"2083","26141_1_284"
"410","26141_1_285"
"410","26141_1_286"
"1201","26141_1_287"
"10","26141_1_288"
"48","26141_1_289"
"2077","26141_1_290"
"48","26141_1_291"
"131","26141_1_292"
"410","26141_1_293"
"167","26141_1_295"
"617","26141_1_296"
"167","26141_1_297"
"167","26141_1_298"
"617","26141_1_299"
"5824","28099_1_100"
