"Sample name","Sample accession","Lane name","Lane accession"
E_8,ERS038927,6649_2#1,ERR049156
E_54,ERS038929,6649_2#3,ERR049158
E_70,ERS038930,6649_2#4,ERR049159
E_71,ERS038931,6649_2#5,ERR049160
E_88,ERS038932,6649_2#6,ERR049161
E_333,ERS038933,6649_2#7,ERR049162
E_344,ERS038934,6649_2#8,ERR049163
E_370,ERS038935,6649_2#9,ERR049164
E_416,ERS038936,6649_2#10,ERR049165
E_471,ERS038937,6649_2#11,ERR049166
E_517,ERS038938,6649_2#12,ERR049167
E_554,ERS038939,6649_2#13,ERR049168
E_562,ERS038940,6649_2#14,ERR049169
E_563,ERS038941,6649_2#15,ERR049170
E_632,ERS038942,6649_2#16,ERR049171
E_636,ERS038943,6649_2#17,ERR049172
E_655,ERS038944,6649_2#18,ERR049173
E_863,ERS038945,6649_2#19,ERR049174
E_877,ERS038946,6649_2#20,ERR049175
E_879,ERS038947,6649_2#21,ERR049176
E_897,ERS038948,6649_2#22,ERR049177
E_916,ERS038949,6649_2#23,ERR049178
E_917,ERS038950,6649_2#24,ERR049179
E_925,ERS038951,6732_2#1,ERR052905
E_927,ERS038952,6732_2#2,ERR052906
E_938,ERS038953,6732_2#3,ERR052907
E_940,ERS038954,6732_2#4,ERR052908
E_953,ERS038955,6732_2#5,ERR052909
E_986,ERS038956,6732_2#6,ERR052910
E_1034,ERS038957,6732_2#7,ERR052911
E_1074,ERS038958,6732_2#8,ERR052912
E_1085,ERS038959,6732_2#9,ERR052913
E_1091,ERS038960,6732_2#10,ERR052914
E_1111,ERS038961,6732_2#11,ERR052915
E_1189,ERS038962,6732_2#12,ERR052916
E_1245,ERS038963,6732_2#13,ERR052917
E_1287,ERS038964,6732_2#14,ERR052918
E_1298,ERS038965,6732_2#15,ERR052919
E_1373,ERS038966,6732_2#16,ERR052920
E_1392,ERS038967,6732_2#17,ERR052921
E_1541,ERS038968,6732_2#18,ERR052922
E_1548,ERS038969,6732_2#19,ERR052923
E_1624,ERS038970,6732_2#20,ERR052924
E_1646,ERS038971,6732_2#21,ERR052925
E_1716,ERS038972,6732_2#22,ERR052926
E_1779,ERS038973,6732_2#23,ERR052927
E_1784,ERS038974,6732_2#24,ERR052928
E_1654,ERS044454,6753_7#1,ERR054665
E_106,ERS044455,6753_7#2,ERR054666
E_21,ERS044456,6753_7#3,ERR054667
E_28,ERS044457,6753_7#4,ERR054668
E_36,ERS044458,6753_7#5,ERR054669
E_45,ERS044459,6753_7#6,ERR054670
E_66,ERS044460,6753_7#7,ERR054671
E_74,ERS044461,6753_7#8,ERR054672
E_79,ERS044462,6753_7#9,ERR054673
E_85,ERS044463,6753_7#10,ERR054674
E_87,ERS044464,6753_7#11,ERR054675
E_97,ERS044465,6753_7#12,ERR054676
E_99,ERS044466,6753_7#13,ERR054677
E_110,ERS044467,6753_7#14,ERR054678
E_126,ERS044468,6753_7#15,ERR054679
E_129,ERS044469,6753_7#16,ERR054680
E_133,ERS044470,6753_7#17,ERR054681
E_135,ERS044471,6753_7#18,ERR054682
E_141,ERS044472,6753_7#19,ERR054683
E_143,ERS044473,6753_7#20,ERR054684
E_151,ERS044474,6753_7#21,ERR054685
E_220,ERS044475,6753_7#22,ERR054686
E_224,ERS044476,6753_7#23,ERR054687
E_237,ERS044477,6753_7#24,ERR054688
E_251,ERS044478,6753_8#1,ERR054689
E_272,ERS044479,6753_8#2,ERR054690
E_806,ERS044480,6753_8#3,ERR054691
E_810,ERS044481,6753_8#4,ERR054692
E_812,ERS044482,6753_8#5,ERR054693
E_816,ERS044483,6753_8#6,ERR054694
E_822,ERS044484,6753_8#7,ERR054695
E_842,ERS044485,6753_8#8,ERR054696
E_856,ERS044486,6753_8#9,ERR054697
E_858,ERS044487,6753_8#10,ERR054698
E_867,ERS044488,6753_8#11,ERR054699
E_871,ERS044489,6753_8#12,ERR054700
