"V1","arpA","ArpAgpE","chuA.1b","trpAgpC","trpBA","TspE4.C2","yjaA","phylogroup"
"15966_8_1",0,0,1,0,1,1,1,"B2"
"15966_8_10",0,0,1,1,1,0,0,"F"
"15966_8_11",1,0,1,1,1,0,0,"D"
"15966_8_12",0,0,1,0,1,1,1,"B2"
"15966_8_13",0,0,1,0,1,0,1,"B2"
"15966_8_14",1,0,1,1,1,0,0,"D"
"15966_8_15",1,0,0,0,1,1,0,"B1"
"15966_8_16",1,0,1,1,1,0,0,"D"
"15966_8_17",1,0,1,1,1,0,0,"D"
"15966_8_18",1,0,0,1,1,1,0,"B1"
"15966_8_19",0,1,1,1,1,0,0,"F"
"15966_8_2",0,0,1,0,1,0,1,"B2"
"15966_8_22",0,0,1,0,1,0,0,"F"
"15966_8_23",1,0,1,1,1,0,0,"D"
"15966_8_24",1,0,1,0,1,0,0,"D"
"15966_8_25",0,0,1,0,1,0,1,"B2"
"15966_8_26",1,0,0,1,1,0,1,"C"
"15966_8_27",1,0,1,0,1,0,0,"D"
"15966_8_28",1,0,1,1,1,0,0,"D"
"15966_8_29",0,0,1,0,1,0,1,"B2"
"15966_8_3",1,0,0,0,1,0,0,"A"
"15966_8_30",0,0,1,0,1,1,1,"B2"
"15966_8_31",1,0,0,0,1,0,1,"A"
"15966_8_32",0,0,1,0,1,1,1,"B2"
"15966_8_33",1,0,1,0,1,0,0,"D"
"15966_8_34",1,0,0,0,1,0,1,"A"
"15966_8_35",0,0,1,0,1,1,1,"B2"
"15966_8_36",1,0,0,0,1,0,1,"A"
"15966_8_38",0,0,1,0,1,1,1,"B2"
"15966_8_39",1,0,1,1,1,0,0,"D"
"15966_8_4",0,0,1,0,1,1,1,"B2"
"15966_8_40",1,0,0,0,1,0,1,"A"
"15966_8_41",1,0,1,0,1,0,0,"D"
"15966_8_42",0,0,1,0,1,0,1,"B2"
"15966_8_43",0,0,1,0,1,0,1,"B2"
"15966_8_44",0,0,1,1,1,0,0,"F"
"15966_8_45",1,0,0,0,1,0,1,"A"
"15966_8_46",1,0,0,0,1,0,1,"A"
"15966_8_47",0,0,1,0,1,1,1,"B2"
"15966_8_48",1,0,0,0,1,1,0,"B1"
"15966_8_49",1,0,0,0,1,0,1,"A"
"15966_8_5",1,0,0,0,1,0,1,"A"
"15966_8_50",0,0,1,1,1,0,0,"F"
"15966_8_51",0,0,1,0,1,0,0,"F"
"15966_8_52",1,0,0,1,1,1,0,"B1"
"15966_8_53",1,0,0,0,1,0,1,"A"
"15966_8_54",0,0,1,0,1,1,1,"B2"
"15966_8_55",0,0,1,0,1,0,1,"B2"
"15966_8_56",0,0,1,0,1,1,1,"B2"
"15966_8_58",1,0,1,1,1,0,0,"D"
"15966_8_59",0,0,1,0,1,1,1,"B2"
"15966_8_6",0,0,1,0,1,1,1,"B2"
"15966_8_61",1,0,0,0,1,0,1,"A"
"15966_8_62",0,0,1,0,1,0,1,"B2"
"15966_8_63",0,0,1,0,1,0,0,"F"
"15966_8_64",0,0,1,0,1,1,1,"B2"
"15966_8_65",1,0,0,0,1,1,0,"B1"
"15966_8_66",1,0,0,1,1,0,1,"C"
"15966_8_67",1,0,0,0,1,0,1,"A"
"15966_8_68",0,0,1,0,1,0,0,"F"
"15966_8_69",1,0,1,1,1,0,0,"D"
"15966_8_7",1,0,0,0,1,0,0,"A"
"15966_8_70",0,0,1,0,1,1,1,"B2"
"15966_8_71",0,0,1,0,1,1,1,"B2"
"15966_8_72",1,0,0,0,1,1,0,"B1"
"15966_8_73",1,0,1,0,1,0,0,"D"
"15966_8_75",1,0,0,0,1,0,1,"A"
"15966_8_76",0,0,1,0,1,1,1,"B2"
"15966_8_77",1,0,1,1,1,0,0,"D"
"15966_8_78",0,0,1,0,1,0,1,"B2"
"15966_8_79",0,0,1,1,1,0,0,"F"
"15966_8_8",0,0,1,0,1,1,1,"B2"
"15966_8_80",0,0,1,0,1,1,1,"B2"
"15966_8_81",0,0,1,0,1,0,0,"F"
"15966_8_82",0,0,1,0,1,1,1,"B2"
"15966_8_84",0,0,1,0,1,1,1,"B2"
"15966_8_85",1,0,0,0,1,0,1,"A"
"15966_8_9",1,0,0,1,1,1,0,"B1"
"15966_8_94",1,0,0,0,1,0,1,"A"
"16228_1_16",0,0,1,1,1,0,0,"F"
"16228_1_17",1,0,1,0,1,0,0,"D"
"16228_1_20",0,0,1,0,1,0,1,"B2"
"16228_1_22",0,0,1,0,1,0,0,"F"
"16228_1_24",1,0,1,1,1,0,0,"D"
"16228_1_33",1,0,0,0,1,0,1,"A"
"16228_1_41",1,0,0,0,1,0,0,"A"
"16228_1_42",0,0,1,0,1,1,1,"B2"
"16228_1_43",1,0,1,1,1,0,0,"D"
"16228_1_44",0,0,1,0,1,0,0,"F"
"16228_1_45",1,0,1,1,1,0,0,"D"
"16228_1_46",0,0,1,0,1,1,1,"B2"
"16228_1_48",1,0,0,0,1,0,1,"A"
"16228_1_62",1,0,0,1,1,0,0,"A"
"18090_6_33",0,0,1,0,1,1,1,"B2"
"18090_6_34",0,0,1,0,1,1,1,"B2"
"18090_6_35",0,0,1,0,1,1,1,"B2"
"18090_6_36",1,0,0,0,1,0,0,"A"
"18090_6_37",0,0,1,1,1,0,0,"F"
"18090_6_38",1,0,1,1,1,0,0,"D"
"18090_6_39",1,0,0,0,1,0,0,"A"
"18090_6_40",1,0,0,0,1,0,1,"A"
"18090_6_41",0,0,1,0,1,1,1,"B2"
"18090_6_42",0,0,1,0,1,1,1,"B2"
"18090_6_43",0,0,1,0,1,1,1,"B2"
"18090_6_44",0,0,1,0,1,1,1,"B2"
"18090_6_45",1,0,0,1,1,1,0,"B1"
"18090_6_48",1,0,0,1,1,1,0,"B1"
"18090_6_50",1,0,0,1,1,1,0,"B1"
"18090_6_51",1,0,0,0,1,0,1,"A"
"18090_6_52",1,0,0,1,1,1,0,"B1"
"18090_6_53",1,0,0,0,1,0,1,"A"
"18090_6_55",1,0,0,0,1,0,1,"A"
"18090_6_56",0,0,1,0,1,1,1,"B2"
"18090_6_57",1,0,0,0,1,0,1,"A"
"18090_6_58",1,0,0,0,1,0,1,"A"
"18090_6_59",0,0,1,1,1,0,0,"F"
"18090_6_60",1,0,1,1,1,0,0,"D"
"18090_6_61",1,0,0,0,1,0,1,"A"
"18090_6_63",1,0,0,1,1,0,1,"C"
"18090_6_80",0,0,1,0,1,0,0,"F"
"18090_6_81",0,0,1,0,1,1,1,"B2"
"18090_6_82",1,0,1,1,1,0,0,"D"
"18090_6_83",0,0,1,0,1,1,1,"B2"
"18090_6_84",1,0,1,1,1,0,0,"D"
"18090_6_85",0,0,1,1,1,0,0,"F"
"18090_6_86",1,0,0,0,1,1,0,"B1"
"18090_6_87",1,0,0,0,1,0,1,"A"
"18090_6_88",0,0,1,0,1,1,1,"B2"
"18090_6_89",1,0,1,1,1,0,0,"D"
"18090_6_90",1,0,0,1,1,1,0,"B1"
"18090_6_91",0,0,1,0,1,1,1,"B2"
"18090_6_92",0,0,1,0,1,0,0,"F"
"18090_6_93",0,0,1,0,1,0,0,"F"
"18090_6_94",1,0,1,1,1,0,0,"D"
"18090_6_95",1,0,0,1,1,1,0,"B1"
"18090_7_1",1,0,1,1,1,0,0,"D"
"18090_7_10",0,0,1,0,1,1,1,"B2"
"18090_7_11",0,0,1,0,1,1,1,"B2"
"18090_7_12",1,0,1,1,1,0,0,"D"
"18090_7_13",0,0,1,0,1,1,1,"B2"
"18090_7_14",1,0,0,1,1,0,1,"C"
"18090_7_15",0,0,1,1,1,0,0,"F"
"18090_7_16",0,0,1,1,1,0,0,"F"
"18090_7_17",1,0,0,1,1,1,0,"B1"
"18090_7_18",1,0,1,1,1,0,0,"D"
"18090_7_19",0,0,1,0,1,1,1,"B2"
"18090_7_2",0,0,1,0,1,1,1,"B2"
"18090_7_20",0,0,1,0,1,1,1,"B2"
"18090_7_21",0,0,1,0,1,0,0,"F"
"18090_7_22",0,0,1,0,1,0,0,"F"
"18090_7_23",1,0,0,1,1,1,0,"B1"
"18090_7_24",0,0,1,0,1,0,0,"F"
"18090_7_25",1,0,0,0,1,0,1,"A"
"18090_7_26",0,0,1,0,1,1,1,"B2"
"18090_7_27",0,0,1,0,1,1,1,"B2"
"18090_7_28",0,0,1,0,1,1,1,"B2"
"18090_7_29",0,0,1,0,1,1,1,"B2"
"18090_7_3",0,0,1,0,1,0,0,"F"
"18090_7_30",1,0,0,0,1,0,1,"A"
"18090_7_31",1,0,0,1,1,0,1,"C"
"18090_7_32",0,0,1,0,1,1,1,"B2"
"18090_7_33",0,0,1,0,1,1,1,"B2"
"18090_7_34",1,0,0,1,1,0,1,"C"
"18090_7_35",0,0,1,0,1,1,1,"B2"
"18090_7_36",0,0,1,0,1,1,1,"B2"
"18090_7_37",0,0,1,0,1,1,1,"B2"
"18090_7_38",0,0,1,0,1,0,0,"F"
"18090_7_39",1,0,1,1,1,0,0,"D"
"18090_7_4",0,0,1,1,1,0,0,"F"
"18090_7_40",0,0,1,0,1,0,0,"F"
"18090_7_41",0,0,1,0,1,1,1,"B2"
"18090_7_43",0,0,1,0,1,0,0,"F"
"18090_7_44",0,0,1,0,1,1,1,"B2"
"18090_7_45",1,0,0,0,1,0,1,"A"
"18090_7_46",1,0,0,0,1,0,0,"A"
"18090_7_47",1,0,0,0,1,0,0,"A"
"18090_7_48",1,0,0,0,1,0,1,"A"
"18090_7_5",0,0,1,0,1,1,1,"B2"
"18090_7_50",1,0,1,1,1,0,0,"D"
"18090_7_52",1,0,0,0,1,0,1,"A"
"18090_7_53",1,0,0,1,1,1,0,"B1"
"18090_7_54",1,0,0,0,1,0,1,"A"
"18090_7_55",1,0,0,0,1,0,1,"A"
"18090_7_56",1,0,0,0,1,0,1,"A"
"18090_7_58",0,0,1,1,1,0,0,"F"
"18090_7_59",1,0,0,0,1,0,0,"A"
"18090_7_6",1,0,0,1,1,1,0,"B1"
"18090_7_60",0,0,1,0,1,1,1,"B2"
"18090_7_62",1,0,0,0,1,0,1,"A"
"18090_7_63",1,0,0,0,1,1,0,"B1"
"18090_7_64",1,0,0,0,1,0,1,"A"
"18090_7_65",1,0,0,0,1,0,0,"A"
"18090_7_66",1,0,0,1,1,1,0,"B1"
"18090_7_67",1,0,0,0,1,0,1,"A"
"18090_7_68",1,0,0,1,1,0,0,"A"
"18090_7_7",1,0,0,1,1,0,1,"C"
"18090_7_70",1,0,0,1,1,1,0,"B1"
"18090_7_73",1,0,0,0,1,0,0,"A"
"18090_7_75",1,0,0,1,1,1,0,"B1"
"18090_7_78",1,0,0,0,1,1,0,"B1"
"18090_7_79",1,0,0,1,1,1,0,"B1"
"18090_7_8",1,0,0,1,1,0,1,"C"
