"Lane","Phylogroup"
"26141_1_134","A"
"26141_1_135","A"
"26141_1_136","A"
"26141_1_137","B2"
"26141_1_138","A"
"26141_1_139","B2"
"26141_1_140","A"
"26141_1_141","A"
"26141_1_142","B2"
"26141_1_143","B2"
"26141_1_144","A"
"26141_1_145","A"
"26141_1_146","A"
"26141_1_147","A"
"26141_1_148","B1"
"26141_1_149","A"
"26141_1_150","B2"
"26141_1_151","B2"
"26141_1_152","C"
"26141_1_153","B2"
"26141_1_154","B1"
"26141_1_155","B1"
"26141_1_156","B2"
"26141_1_157","C"
"26141_1_158","D"
"26141_1_159","A"
"26141_1_160","B2"
"26141_1_161","A"
"26141_1_162","A"
"26141_1_164","A"
"26141_1_165","A"
"26141_1_166","B2"
"26141_1_168","B2"
"26141_1_169","A"
"26141_1_170","C"
"26141_1_171","C"
"26141_1_172","B2"
"26141_1_173","B2"
"26141_1_174","B2"
"26141_1_175","A"
"26141_1_176","A"
"26141_1_177","F"
"26141_1_178","A"
"26141_1_179","A"
"26141_1_180","F"
"26141_1_181","C"
"26141_1_182","A"
"26141_1_183","A"
"26141_1_184","B1"
"26141_1_186","F"
"26141_1_187","A"
"26141_1_189","F"
"26141_1_190","F"
"26141_1_191","D"
"26141_1_192","A"
"26141_1_193","A"
"26141_1_194","B2"
"26141_1_195","A"
"26141_1_196","A"
"26141_1_197","B2"
"26141_1_198","B2"
"26141_1_199","B2"
"26141_1_200","B2"
"26141_1_201","C"
"26141_1_202","B2"
"26141_1_203","A"
"26141_1_204","A"
"26141_1_205","A"
"26141_1_206","F"
"26141_1_207","A"
"26141_1_208","A"
"26141_1_209","C"
"26141_1_210","F"
"26141_1_211","B2"
"26141_1_212","A"
"26141_1_213","A"
"26141_1_214","B1"
"26141_1_215","F"
"26141_1_217","B2"
"26141_1_218","A"
"26141_1_219","F"
"26141_1_220","A"
"26141_1_221","A"
"26141_1_222","F"
"26141_1_223","F"
"26141_1_224","B2"
"26141_1_225","A"
"26141_1_226","B1"
"26141_1_227","B2"
"26141_1_228","B2"
"26141_1_229","A"
"26141_1_230","B1"
"26141_1_232","F"
"26141_1_236","A"
"26141_1_237","B2"
"26141_1_239","D"
"26141_1_240","B1"
"26141_1_241","F"
"26141_1_242","A"
"26141_1_243","F"
"26141_1_244","A"
"26141_1_246","F"
"26141_1_247","A"
"26141_1_248","A"
"26141_1_250","A"
"26141_1_251","A"
"26141_1_252","A"
"26141_1_253","B2"
"26141_1_254","A"
"26141_1_255","B2"
"26141_1_256","A"
"26141_1_257","B2"
"26141_1_258","C"
"26141_1_259","A"
"26141_1_260","Unknown"
"26141_1_261","F"
"26141_1_262","A"
"26141_1_263","F"
"26141_1_265","F"
"26141_1_266","B2"
"26141_1_267","F"
"26141_1_268","F"
"26141_1_270","A"
"26141_1_271","B2"
"26141_1_272","F"
"26141_1_273","F"
"26141_1_274","A"
"26141_1_275","F"
"26141_1_276","D"
"26141_1_277","B2"
"26141_1_278","B2"
"26141_1_279","B2"
"26141_1_280","B2"
"26141_1_282","F"
"26141_1_283","A"
"26141_1_284","B1"
"26141_1_285","C"
"26141_1_286","C"
"26141_1_287","A"
"26141_1_288","A"
"26141_1_289","A"
"26141_1_290","B1"
"26141_1_291","A"
"26141_1_292","B2"
"26141_1_293","C"
"26141_1_295","A"
"26141_1_296","A"
"26141_1_297","A"
"26141_1_298","A"
"26141_1_299","A"
"28099_1_1","B1"
"28099_1_10","B1"
"28099_1_100","A"
"28099_1_102","A"
"28099_1_103","A"
"28099_1_104","D"
"28099_1_106","A"
"28099_1_107","B1"
"28099_1_11","B1"
"28099_1_110","B2"
"28099_1_111","D"
"28099_1_112","A"
"28099_1_114","F"
"28099_1_115","A"
"28099_1_116","A"
"28099_1_118","Clade I or II"
"28099_1_119","D"
"28099_1_120","B2"
"28099_1_123","A"
"28099_1_125","A"
"28099_1_127","A"
"28099_1_128","A"
"28099_1_129","Clade I or II"
"28099_1_131","A"
"28099_1_132","A"
"28099_1_133","F"
"28099_1_135","A"
"28099_1_136","A"
"28099_1_137","D"
"28099_1_139","B1"
"28099_1_14","D"
"28099_1_141","C"
"28099_1_143","A"
"28099_1_144","A"
"28099_1_145","A"
"28099_1_148","A"
"28099_1_149","A"
"28099_1_151","B2"
"28099_1_152","A"
"28099_1_153","B2"
"28099_1_155","C"
"28099_1_156","C"
"28099_1_157","A"
"28099_1_159","A"
"28099_1_160","A"
"28099_1_161","A"
"28099_1_163","C"
"28099_1_165","F"
"28099_1_167","A"
"28099_1_168","C"
"28099_1_169","A"
"28099_1_171","F"
"28099_1_172","F"
