"Sample name","Sample accession","Lane name","Lane accession"
DASSIM38743780,ERS4353039,34154_7#3,"not found"
DASSIM38743684,ERS4352943,34154_7#4,"not found"
DASSIM38743781,ERS4353041,34154_7#5,"not found"
DASSIM38743685,ERS4352944,34154_7#6,"not found"
DASSIM38743589,ERS4352848,34154_7#8,"not found"
DASSIM38743590,ERS4352851,34154_7#10,"not found"
DASSIM38743782,ERS4353042,34154_7#11,"not found"
DASSIM38743686,ERS4352945,34154_7#12,"not found"
DASSIM38743783,ERS4353043,34154_7#13,"not found"
DASSIM38743687,ERS4352947,34154_7#14,"not found"
DASSIM38743591,ERS4352849,34154_7#16,"not found"
DASSIM38743592,ERS4352852,34154_7#18,"not found"
DASSIM38743784,ERS4353046,34154_7#19,"not found"
DASSIM38743688,ERS4352948,34154_7#20,"not found"
DASSIM38743593,ERS4352853,34154_7#22,"not found"
DASSIM38743689,ERS4352949,34154_7#23,"not found"
DASSIM38743785,ERS4353045,34154_7#24,"not found"
DASSIM38743594,ERS4352859,34154_7#25,"not found"
DASSIM38743690,ERS4352951,34154_7#26,"not found"
DASSIM38743786,ERS4353044,34154_7#27,"not found"
DASSIM38743595,ERS4352854,34154_7#30,"not found"
DASSIM38743691,ERS4352950,34154_7#31,"not found"
DASSIM38743787,ERS4353047,34154_7#32,"not found"
DASSIM38743692,ERS4352952,34154_7#33,"not found"
DASSIM38743596,ERS4352855,34154_7#36,"not found"
DASSIM38743597,ERS4352856,34154_7#38,"not found"
DASSIM38743693,ERS4352953,34154_7#39,"not found"
DASSIM38743789,ERS4353049,34154_7#40,"not found"
DASSIM38743694,ERS4352954,34154_7#41,"not found"
DASSIM38743790,ERS4353050,34154_7#42,"not found"
DASSIM38743598,ERS4352857,34154_7#44,"not found"
DASSIM38743599,ERS4352858,34154_7#46,"not found"
DASSIM38743695,ERS4352955,34154_7#47,"not found"
DASSIM38743791,ERS4353051,34154_7#48,"not found"
DASSIM38743792,ERS4353052,34154_7#49,"not found"
DASSIM38743696,ERS4352956,34154_7#50,"not found"
DASSIM38743600,ERS4352860,34154_7#52,"not found"
DASSIM38743601,ERS4352861,34154_7#54,"not found"
DASSIM38743793,ERS4353054,34154_7#55,"not found"
DASSIM38743697,ERS4352957,34154_7#56,"not found"
DASSIM38743602,ERS4352862,34154_7#58,"not found"
DASSIM38743794,ERS4353053,34154_7#59,"not found"
DASSIM38743698,ERS4352958,34154_7#60,"not found"
DASSIM38743795,ERS4353055,34154_7#62,"not found"
DASSIM38743699,ERS4352959,34154_7#63,"not found"
DASSIM38743700,ERS4352960,34154_7#68,"not found"
DASSIM38743797,ERS4353057,34154_7#69,"not found"
DASSIM38743701,ERS4352961,34154_7#70,"not found"
DASSIM38743606,ERS4352866,34154_7#74,"not found"
DASSIM38743798,ERS4353058,34154_7#75,"not found"
DASSIM38743702,ERS4352962,34154_7#76,"not found"
DASSIM38743799,ERS4353059,34154_7#77,"not found"
DASSIM38743703,ERS4352963,34154_7#78,"not found"
DASSIM38743607,ERS4352867,34154_7#80,"not found"
DASSIM38743800,ERS4353060,34154_7#83,"not found"
DASSIM38743704,ERS4352966,34154_7#84,"not found"
DASSIM38743609,ERS4352869,34154_7#86,"not found"
DASSIM38743801,ERS4353061,34154_7#87,"not found"
DASSIM38743705,ERS4352964,34154_7#88,"not found"
DASSIM38743610,ERS4352870,34154_7#89,"not found"
DASSIM38743802,ERS4353062,34154_7#90,"not found"
DASSIM38743706,ERS4352965,34154_7#91,"not found"
DASSIM38743611,ERS4352871,34154_7#94,"not found"
DASSIM38743803,ERS4353063,34154_7#95,"not found"
DASSIM38743707,ERS4352967,34154_7#96,"not found"
DASSIM38743804,ERS4353064,34154_7#97,"not found"
DASSIM38743708,ERS4352997,34154_7#98,"not found"
DASSIM38743612,ERS4352872,34154_7#100,"not found"
DASSIM38743613,ERS4352873,34154_7#102,"not found"
DASSIM38743805,ERS4353065,34154_7#103,"not found"
DASSIM38743709,ERS4352998,34154_7#104,"not found"
DASSIM38743710,ERS4352999,34154_7#105,"not found"
DASSIM38743806,ERS4353066,34154_7#106,"not found"
DASSIM38743614,ERS4352875,34154_7#108,"not found"
DASSIM38743615,ERS4352874,34154_7#110,"not found"
DASSIM38743807,ERS4353067,34154_7#112,"not found"
DASSIM38743616,ERS4352876,34154_7#116,"not found"
DASSIM38743617,ERS4352877,34154_7#118,"not found"
DASSIM38743713,ERS4353002,34154_7#119,"not found"
DASSIM38743618,ERS4352878,34154_7#122,"not found"
DASSIM38743714,ERS4353004,34154_7#123,"not found"
DASSIM38743619,ERS4352879,34154_7#125,"not found"
DASSIM38743620,ERS4352880,34154_7#130,"not found"
DASSIM38743716,ERS4353005,34154_7#131,"not found"
DASSIM38743717,ERS4353006,34154_7#134,"not found"
DASSIM38743621,ERS4352881,34154_7#136,"not found"
DASSIM38743622,ERS4352882,34154_7#138,"not found"
DASSIM38743718,ERS4352968,34154_7#140,"not found"
DASSIM38743719,ERS4352969,34154_7#142,"not found"
DASSIM38743623,ERS4352883,34154_7#144,"not found"
DASSIM38743624,ERS4352884,34154_7#146,"not found"
DASSIM38743720,ERS4352970,34154_7#148,"not found"
DASSIM38743625,ERS4352885,34154_7#150,"not found"
DASSIM38743721,ERS4352971,34154_7#152,"not found"
DASSIM38743626,ERS4352887,34154_7#153,"not found"
DASSIM38743722,ERS4352972,34154_7#155,"not found"
DASSIM38743627,ERS4352886,34154_7#158,"not found"
DASSIM38743723,ERS4352973,34154_7#160,"not found"
DASSIM38743724,ERS4352974,34154_7#162,"not found"
DASSIM38743628,ERS4352888,34154_7#164,"not found"
DASSIM38743629,ERS4352889,34154_7#166,"not found"
DASSIM38743725,ERS4352975,34154_7#168,"not found"
DASSIM38743630,ERS4352890,34154_7#172,"not found"
DASSIM38743631,ERS4352896,34154_7#174,"not found"
DASSIM38743727,ERS4352978,34154_7#176,"not found"
DASSIM38743728,ERS4352977,34154_7#178,"not found"
DASSIM38743632,ERS4352892,34154_7#179,"not found"
DASSIM38743729,ERS4352979,34154_7#183,"not found"
DASSIM38743633,ERS4352891,34154_7#184,"not found"
DASSIM38743634,ERS4352893,34154_7#185,"not found"
DASSIM38743731,ERS4352980,34154_7#189,"not found"
DASSIM38743635,ERS4352894,34154_7#191,"not found"
DASSIM38743732,ERS4352982,34154_7#194,"not found"
DASSIM38743733,ERS4352983,34154_7#197,"not found"
DASSIM38743637,ERS4352897,34154_7#199,"not found"
DASSIM38743734,ERS4352984,34154_7#202,"not found"
DASSIM38743638,ERS4352898,34154_7#204,"not found"
DASSIM38743735,ERS4352985,34154_7#205,"not found"
DASSIM38743639,ERS4352899,34154_7#207,"not found"
DASSIM38743736,ERS4352986,34154_7#210,"not found"
DASSIM38743640,ERS4352900,34154_7#212,"not found"
DASSIM38743641,ERS4352901,34154_7#213,"not found"
DASSIM38743737,ERS4352987,34154_7#216,"not found"
DASSIM38743738,ERS4352988,34154_7#218,"not found"
DASSIM38743642,ERS4352902,34154_7#219,"not found"
DASSIM38743643,ERS4352903,34154_7#221,"not found"
DASSIM38743739,ERS4352991,34154_7#224,"not found"
DASSIM38743740,ERS4352989,34154_7#226,"not found"
DASSIM38743644,ERS4352904,34154_7#227,"not found"
DASSIM38743741,ERS4352990,34154_7#231,"not found"
DASSIM38743645,ERS4352905,34154_7#232,"not found"
DASSIM38743742,ERS4352992,34154_7#234,"not found"
DASSIM38743646,ERS4352906,34154_7#235,"not found"
DASSIM38743743,ERS4352993,34154_7#239,"not found"
DASSIM38743647,ERS4352907,34154_7#240,"not found"
DASSIM38743744,ERS4352994,34154_7#242,"not found"
DASSIM38743745,ERS4352995,34154_7#247,"not found"
DASSIM38743649,ERS4352915,34154_7#248,"not found"
DASSIM38743650,ERS4352909,34154_7#249,"not found"
DASSIM38743746,ERS4352996,34154_7#252,"not found"
DASSIM38743747,ERS4353007,34154_7#254,"not found"
DASSIM38743651,ERS4352910,34154_7#255,"not found"
DASSIM38743748,ERS4353008,34154_7#259,"not found"
DASSIM38743652,ERS4352911,34154_7#260,"not found"
DASSIM38743749,ERS4353009,34154_7#262,"not found"
DASSIM38743653,ERS4352912,34154_7#263,"not found"
DASSIM38743750,ERS4353010,34154_7#267,"not found"
DASSIM38743654,ERS4352913,34154_7#268,"not found"
DASSIM38743751,ERS4353011,34154_7#269,"not found"
DASSIM38743655,ERS4352914,34154_7#271,"not found"
DASSIM38743752,ERS4353012,34154_7#274,"not found"
DASSIM38743656,ERS4352916,34154_7#276,"not found"
DASSIM38743657,ERS4352917,34154_7#277,"not found"
DASSIM38743753,ERS4353013,34154_7#279,"not found"
