"Sample name","Sample accession","Lane name","Lane accession"
DASSIM38743780,ERS4353039,34154_7#3,ERR6057876
DASSIM38743684,ERS4352943,34154_7#4,ERR6057877
DASSIM38743781,ERS4353041,34154_7#5,ERR6057878
DASSIM38743685,ERS4352944,34154_7#6,ERR6057879
DASSIM38743589,ERS4352848,34154_7#8,ERR6057880
DASSIM38743590,ERS4352851,34154_7#10,ERR6057881
DASSIM38743782,ERS4353042,34154_7#11,ERR6057882
DASSIM38743686,ERS4352945,34154_7#12,ERR6057883
DASSIM38743783,ERS4353043,34154_7#13,ERR6057884
DASSIM38743687,ERS4352947,34154_7#14,ERR6057885
DASSIM38743591,ERS4352849,34154_7#16,ERR6057886
DASSIM38743592,ERS4352852,34154_7#18,ERR6057887
DASSIM38743784,ERS4353046,34154_7#19,ERR6057888
DASSIM38743688,ERS4352948,34154_7#20,ERR6057889
DASSIM38743593,ERS4352853,34154_7#22,ERR6057890
DASSIM38743689,ERS4352949,34154_7#23,ERR6057891
DASSIM38743785,ERS4353045,34154_7#24,ERR6057892
DASSIM38743594,ERS4352859,34154_7#25,ERR6057893
DASSIM38743690,ERS4352951,34154_7#26,ERR6057894
DASSIM38743786,ERS4353044,34154_7#27,ERR6057895
DASSIM38743595,ERS4352854,34154_7#30,ERR6057896
DASSIM38743691,ERS4352950,34154_7#31,ERR6057897
DASSIM38743787,ERS4353047,34154_7#32,ERR6057898
DASSIM38743692,ERS4352952,34154_7#33,ERR6057899
DASSIM38743596,ERS4352855,34154_7#36,ERR6057901
DASSIM38743597,ERS4352856,34154_7#38,ERR6057902
DASSIM38743693,ERS4352953,34154_7#39,ERR6057903
DASSIM38743789,ERS4353049,34154_7#40,ERR6057904
DASSIM38743694,ERS4352954,34154_7#41,ERR6057905
DASSIM38743790,ERS4353050,34154_7#42,ERR6057906
DASSIM38743598,ERS4352857,34154_7#44,ERR6057907
DASSIM38743599,ERS4352858,34154_7#46,ERR6057908
DASSIM38743695,ERS4352955,34154_7#47,ERR6057909
DASSIM38743791,ERS4353051,34154_7#48,ERR6057910
DASSIM38743792,ERS4353052,34154_7#49,ERR6057911
DASSIM38743696,ERS4352956,34154_7#50,ERR6057912
DASSIM38743600,ERS4352860,34154_7#52,ERR6057913
DASSIM38743601,ERS4352861,34154_7#54,ERR6057914
DASSIM38743793,ERS4353054,34154_7#55,ERR6057915
DASSIM38743697,ERS4352957,34154_7#56,ERR6057916
DASSIM38743602,ERS4352862,34154_7#58,ERR6057917
DASSIM38743794,ERS4353053,34154_7#59,ERR6057918
DASSIM38743698,ERS4352958,34154_7#60,ERR6057919
DASSIM38743795,ERS4353055,34154_7#62,ERR6057921
DASSIM38743699,ERS4352959,34154_7#63,ERR6057922
DASSIM38743700,ERS4352960,34154_7#68,ERR6057925
DASSIM38743797,ERS4353057,34154_7#69,ERR6057926
DASSIM38743701,ERS4352961,34154_7#70,ERR6057927
DASSIM38743606,ERS4352866,34154_7#74,ERR6057929
DASSIM38743798,ERS4353058,34154_7#75,ERR6057930
DASSIM38743702,ERS4352962,34154_7#76,ERR6057931
DASSIM38743799,ERS4353059,34154_7#77,ERR6057932
DASSIM38743703,ERS4352963,34154_7#78,ERR6057933
DASSIM38743607,ERS4352867,34154_7#80,ERR6057934
DASSIM38743800,ERS4353060,34154_7#83,ERR6057936
DASSIM38743704,ERS4352966,34154_7#84,ERR6057937
DASSIM38743609,ERS4352869,34154_7#86,ERR6057938
DASSIM38743801,ERS4353061,34154_7#87,ERR6057939
DASSIM38743705,ERS4352964,34154_7#88,ERR6057940
DASSIM38743610,ERS4352870,34154_7#89,ERR6057941
DASSIM38743802,ERS4353062,34154_7#90,ERR6057942
DASSIM38743706,ERS4352965,34154_7#91,ERR6057943
DASSIM38743611,ERS4352871,34154_7#94,ERR6057944
DASSIM38743803,ERS4353063,34154_7#95,ERR6057945
DASSIM38743707,ERS4352967,34154_7#96,ERR6057946
DASSIM38743804,ERS4353064,34154_7#97,ERR6057947
DASSIM38743708,ERS4352997,34154_7#98,ERR6057948
DASSIM38743612,ERS4352872,34154_7#100,ERR6057949
DASSIM38743613,ERS4352873,34154_7#102,ERR6057950
DASSIM38743805,ERS4353065,34154_7#103,ERR6057951
DASSIM38743709,ERS4352998,34154_7#104,ERR6057952
DASSIM38743710,ERS4352999,34154_7#105,ERR6057953
DASSIM38743806,ERS4353066,34154_7#106,ERR6057954
DASSIM38743614,ERS4352875,34154_7#108,ERR6057955
DASSIM38743615,ERS4352874,34154_7#110,ERR6057956
DASSIM38743807,ERS4353067,34154_7#112,ERR6057958
DASSIM38743616,ERS4352876,34154_7#116,ERR6057961
