"Sample name","Sample accession","Lane name","Lane accession"
SKP000025,ERS005742,5150_1#2,ERR024821
SKP000026,ERS005743,5150_1#3,ERR024822
SKP000028,ERS005744,5150_1#4,ERR024823
SKP000009,ERS005745,5150_1#5,ERR024824
SKP000016,ERS005747,5150_1#7,ERR024826
SKP000017,ERS005748,5150_1#8,ERR024827
SKP000019,ERS005749,5150_1#9,ERR024828
SKP000020,ERS005750,5150_1#10,ERR024818
SKP000021,ERS005751,5150_1#11,ERR024819
SKP000029,ERS005752,5150_2#1,ERR024830
SKP000053,ERS005754,5150_2#2,ERR024834
SKP000055,ERS005756,5150_2#3,ERR024835
SKP000057,ERS005755,5150_2#4,ERR024836
SKP000030,ERS005757,5150_2#5,ERR024837
SKP000033,ERS005758,5150_2#6,ERR024838
SKP000038,ERS005759,5150_2#7,ERR024839
SKP000039,ERS005760,5150_2#8,ERR024840
SKP000042,ERS005762,5150_2#10,ERR024831
SKP000043,ERS005763,5150_2#11,ERR024832
SKP000061,ERS005765,5150_3#1,ERR024843
SKP000077,ERS005766,5150_3#2,ERR024847
SKP000078,ERS005767,5150_3#3,ERR024848
SKP000062,ERS005768,5150_3#5,ERR024850
SKP000063,ERS005770,5150_3#6,ERR024851
SKP000071,ERS005771,5150_3#8,ERR024853
SKP000072,ERS005773,5150_3#9,ERR024854
SKP000073,ERS005774,5150_3#10,ERR024844
SKP000075,ERS005775,5150_3#11,ERR024845
SKP000081,ERS005777,5150_5#1,ERR025098
SKP000099,ERS005778,5150_5#2,ERR025102
SKP000101,ERS005779,5150_5#3,ERR025103
SKP000102,ERS005780,5150_5#4,ERR025104
SKP000083,ERS005781,5150_5#5,ERR025105
SKP000085,ERS005783,5150_5#7,ERR025107
SKP000088,ERS005784,5150_5#8,ERR025108
SKP000094,ERS005785,5150_5#9,ERR025109
SKP000095,ERS005786,5150_5#10,ERR025099
SKP000097,ERS005787,5150_5#11,ERR025100
SKP000737,ERS011914,5151_2#1,ERR025111
SKP000738,ERS011915,5151_2#2,ERR025115
SKP000739,ERS011916,5151_2#3,ERR025116
SKP000740,ERS011917,5151_2#4,ERR025117
SKP000741,ERS011918,5151_2#5,ERR025118
SKP000742,ERS011919,5151_2#6,ERR025119
SKP000757,ERS011920,5151_2#7,ERR025120
SKP000743,ERS011921,5151_2#8,ERR025121
SKP000744,ERS011922,5151_2#9,ERR025122
SKP000745,ERS011923,5151_2#10,ERR025112
SKP000758,ERS011924,5151_2#11,ERR025113
SKP000759,ERS011925,5151_2#12,ERR025114
SKP000760,ERS011926,5151_3#1,ERR025124
SKP000761,ERS011927,5151_3#2,ERR025128
SKP000767,ERS011933,5151_3#8,ERR025134
SKP000768,ERS011934,5151_3#9,ERR025135
SKP000769,ERS011935,5151_3#10,ERR025125
SKP000772,ERS011938,5151_5#1,ERR025137
SKP000773,ERS011939,5151_5#2,ERR025141
SKP000774,ERS011940,5151_5#3,ERR025142
SKP000775,ERS011941,5151_5#4,ERR025143
SKP000776,ERS011942,5151_5#5,ERR025144
SKP000777,ERS011943,5151_5#6,ERR025145
SKP000778,ERS011944,5151_5#7,ERR025146
SKP000779,ERS011945,5151_5#8,ERR025147
SKP000780,ERS011946,5151_5#9,ERR025148
SKP000781,ERS011947,5151_5#10,ERR025138
SKP000782,ERS011948,5151_5#11,ERR025139
SKP000783,ERS011949,5151_5#12,ERR025140
SKP000784,ERS011950,5151_6#1,ERR025150
SKP000785,ERS011951,5151_6#2,ERR025154
SKP000786,ERS011952,5151_6#3,ERR025155
SKP000787,ERS011953,5151_6#4,ERR025156
SKP000788,ERS011954,5151_6#5,ERR025157
SKP000789,ERS011955,5151_6#6,ERR025158
SKP000790,ERS011956,5151_6#7,ERR025159
SKP000791,ERS011957,5151_6#8,ERR025160
SKP000792,ERS011958,5151_6#9,ERR025161
SKP000793,ERS011959,5151_6#10,ERR025151
SKP000794,ERS011960,5151_6#11,ERR025152
SKP000795,ERS011961,5151_6#12,ERR025153
SKP000176,ERS011794,5193_1#1,ERR025462
SKP000209,ERS011797,5193_1#4,ERR025468
SKP000224,ERS011798,5193_1#5,ERR025469
SKP000245,ERS011799,5193_1#6,ERR025470
SKP000748,ERS011800,5193_1#7,ERR025471
SKP000252,ERS011801,5193_1#8,ERR025472
SKP000256,ERS011802,5193_1#9,ERR025473
SKP000260,ERS011803,5193_1#10,ERR025463
SKP000263,ERS011804,5193_1#11,ERR025464
SKP000301,ERS011805,5193_1#12,ERR025465
SKP000303,ERS011806,5193_2#1,ERR025475
SKP000322,ERS011807,5193_2#2,ERR025479
SKP000326,ERS011808,5193_2#3,ERR025480
SKP000328,ERS011809,5193_2#4,ERR025481
SKP000330,ERS011810,5193_2#5,ERR025482
SKP000334,ERS011811,5193_2#6,ERR025483
SKP000749,ERS011812,5193_2#7,ERR025484
SKP000339,ERS011813,5193_2#8,ERR025485
SKP000343,ERS011814,5193_2#9,ERR025486
SKP000347,ERS011815,5193_2#10,ERR025476
SKP000352,ERS011816,5193_2#11,ERR025477
SKP000362,ERS011817,5193_2#12,ERR025478
SKP000422,ERS011830,5193_3#1,ERR025488
SKP000433,ERS011833,5193_3#4,ERR025494
SKP000436,ERS011834,5193_3#5,ERR025495
SKP000449,ERS011835,5193_3#6,ERR025496
SKP000453,ERS011836,5193_3#7,ERR025497
SKP000460,ERS011837,5193_3#8,ERR025498
SKP000461,ERS011838,5193_3#9,ERR025499
SKP000464,ERS011839,5193_3#10,ERR025489
SKP000467,ERS011840,5193_3#11,ERR025490
SKP000470,ERS011841,5193_3#12,ERR025491
SKP000473,ERS011842,5193_5#1,ERR025501
