"Sample name","Sample accession","Lane name","Lane accession"
3487STDY6036402,ERS668986,15966_8#21,ERR926371
3487STDY6036439,ERS669023,15966_8#57,ERR926407
3487STDY6036478,ERS669059,15966_8#86,ERR926436
3487STDY6036479,ERS669060,15966_8#87,ERR926437
3487STDY6036480,ERS669061,15966_8#88,ERR926438
3487STDY6036481,ERS669062,15966_8#89,ERR926439
3487STDY6036483,ERS669064,15966_8#91,ERR926441
3487STDY6036485,ERS669066,15966_8#93,ERR926443
3487STDY6036487,ERS669068,15966_8#95,ERR926445
3487STDY6036489,ERS669070,16228_1#2,ERR971948
3487STDY6036490,ERS669071,16228_1#3,ERR971949
3487STDY6036491,ERS669072,16228_1#4,ERR971950
3487STDY6036492,ERS669073,16228_1#5,ERR971951
3487STDY6036493,ERS669074,16228_1#6,ERR971952
3487STDY6036494,ERS669075,16228_1#7,ERR971953
3487STDY6036495,ERS669076,16228_1#8,ERR971954
3487STDY6036496,ERS669077,16228_1#9,ERR971955
3487STDY6036500,ERS669081,16228_1#11,ERR971957
3487STDY6036503,ERS669084,16228_1#13,ERR971959
3487STDY6036504,ERS669085,16228_1#14,ERR971960
3487STDY6036505,ERS669086,16228_1#15,ERR971961
3487STDY6036509,ERS669090,16228_1#18,ERR971964
3487STDY6036518,ERS669099,16228_1#19,ERR971965
3487STDY6036522,ERS669103,16228_1#21,ERR971967
3487STDY6036532,ERS669113,16228_1#23,ERR971969
3487STDY6036535,ERS669116,16228_1#26,ERR971972
3487STDY6036539,ERS669120,16228_1#28,ERR971974
3487STDY6036542,ERS669123,16228_1#29,ERR971975
3487STDY6036543,ERS669124,16228_1#30,ERR971976
3487STDY6036545,ERS669126,16228_1#31,ERR971977
3487STDY6036546,ERS669127,16228_1#32,ERR971978
3487STDY6036550,ERS669131,16228_1#34,ERR971980
3487STDY6036553,ERS669134,16228_1#36,ERR971982
3487STDY6036560,ERS669141,16228_1#38,ERR971984
3487STDY6036562,ERS669143,16228_1#39,ERR971985
3487STDY6036564,ERS669145,16228_1#40,ERR971986
3487STDY6036472,ERS669056,16228_1#47,ERR971993
3487STDY6036497,ERS669078,16228_1#50,ERR971996
3487STDY6036499,ERS669080,16228_1#51,ERR971997
3487STDY6036501,ERS669082,16228_1#52,ERR971998
3487STDY6036507,ERS669088,16228_1#53,ERR971999
3487STDY6036510,ERS669091,16228_1#54,ERR972000
3487STDY6036511,ERS669092,16228_1#55,ERR972001
3487STDY6036512,ERS669093,16228_1#56,ERR972002
3487STDY6036513,ERS669094,16228_1#57,ERR972003
3487STDY6036514,ERS669095,16228_1#58,ERR972004
3487STDY6036515,ERS669096,16228_1#59,ERR972005
3487STDY6036517,ERS669098,16228_1#61,ERR972007
3487STDY6036521,ERS669102,16228_1#63,ERR972009
3487STDY6036523,ERS669104,16228_1#64,ERR972010
3487STDY6036524,ERS669105,16228_1#65,ERR972011
3487STDY6036525,ERS669106,16228_1#66,ERR972012
3487STDY6036527,ERS669108,16228_1#67,ERR972013
3487STDY6036528,ERS669109,16228_1#68,ERR972014
3487STDY6036529,ERS669110,16228_1#69,ERR972015
3487STDY6036530,ERS669111,16228_1#70,ERR972016
3487STDY6036531,ERS669112,16228_1#71,ERR972017
3487STDY6036536,ERS669117,16228_1#72,ERR972018
3487STDY6036537,ERS669118,16228_1#73,ERR972019
3487STDY6036540,ERS669121,16228_1#74,ERR972020
3487STDY6036541,ERS669122,16228_1#75,ERR972021
3487STDY6036544,ERS669125,16228_1#76,ERR972022
3487STDY6036548,ERS669129,16228_1#77,ERR972023
3487STDY6036549,ERS669130,16228_1#78,ERR972024
3487STDY6036551,ERS669132,16228_1#79,ERR972025
3487STDY6036554,ERS669135,16228_1#80,ERR972026
3487STDY6036555,ERS669136,16228_1#81,ERR972027
3487STDY6036556,ERS669137,16228_1#82,ERR972028
3487STDY6036558,ERS669139,16228_1#83,ERR972029
3487STDY6036559,ERS669140,16228_1#84,ERR972030
3487STDY6036561,ERS669142,16228_1#85,ERR972031
4464STDY6617887,ERS1545129,22036_8#82,ERR2397672
4464STDY6617509,ERS1521635,22072_1#94,ERR2497235
4464STDY6617510,ERS1530953,22072_1#95,ERR2497236
4464STDY6617511,ERS1530954,22072_1#96,ERR2497237
4464STDY6617512,ERS1530955,22072_1#97,ERR2497238
4464STDY6617513,ERS1530956,22072_1#98,ERR2497239
4464STDY6617514,ERS1530957,22072_1#99,ERR2497240
4464STDY6617517,ERS1530960,22072_1#101,ERR2497242
4464STDY6617518,ERS1530961,22072_1#102,ERR2497243
4464STDY6617519,ERS1530962,22072_1#103,ERR2497244
4464STDY6617520,ERS1530963,22072_1#104,ERR2497245
4464STDY6617521,ERS1530964,22072_1#105,ERR2497246
4464STDY6617522,ERS1530965,22072_1#106,ERR2497247
4464STDY6617523,ERS1530966,22072_1#107,ERR2497248
4464STDY6617524,ERS1530967,22072_1#108,ERR2497249
4464STDY6617526,ERS1530969,22072_1#110,ERR2497251
4464STDY6617527,ERS1530970,22072_1#111,ERR2497252
4464STDY6617528,ERS1530971,22072_1#112,ERR2497253
4464STDY6617529,ERS1530972,22072_1#113,ERR2497254
4464STDY6617530,ERS1530973,22072_1#114,ERR2497255
4464STDY6617533,ERS1530976,22072_1#117,ERR2497258
4464STDY6617535,ERS1530978,22072_1#119,ERR2497260
4464STDY6617537,ERS1530980,22072_1#120,ERR2497261
4464STDY6617538,ERS1530981,22072_1#121,ERR2497262
4464STDY6617539,ERS1530982,22072_1#122,ERR2497263
4464STDY6617540,ERS1530983,22072_1#123,ERR2497264
4464STDY6617541,ERS1530984,22072_1#124,ERR2497265
4464STDY6617542,ERS1530985,22072_1#125,ERR2497266
4464STDY6617543,ERS1530986,22072_1#126,ERR2497267
4464STDY6617544,ERS1530987,22072_1#127,ERR2497268
4464STDY6617545,ERS1530988,22072_1#128,ERR2497269
4464STDY6617546,ERS1530989,22072_1#129,ERR2497270
4464STDY6617547,ERS1530990,22072_1#130,ERR2497271
4464STDY6617549,ERS1530992,22072_1#131,ERR2497272
4464STDY6617552,ERS1530995,22072_1#132,ERR2497273
4464STDY6617554,ERS1530997,22072_1#134,ERR2497275
4464STDY6617555,ERS1530998,22072_1#135,ERR2497276
4464STDY6617557,ERS1531000,22072_1#136,ERR2497277
4464STDY6617558,ERS1531001,22072_1#137,ERR2497278
4464STDY6617559,ERS1531002,22072_1#138,ERR2497279
4464STDY6617560,ERS1531003,22072_1#139,ERR2497280
4464STDY6617564,ERS1531007,22072_1#140,ERR2497281
4464STDY6617566,ERS1531009,22072_1#142,ERR2497283
4464STDY6617568,ERS1531011,22072_1#143,ERR2497284
4464STDY6617569,ERS1531012,22072_1#144,ERR2497285
4464STDY6617571,ERS1531014,22072_1#145,ERR2497286
4464STDY6617572,ERS1531015,22072_1#146,ERR2497287
4464STDY6617574,ERS1531017,22072_1#147,ERR2497288
4464STDY6617575,ERS1531018,22072_1#148,ERR2497289
4464STDY6617576,ERS1531019,22072_1#149,ERR2497290
4464STDY6617577,ERS1531020,22072_1#150,ERR2497291
4464STDY6617578,ERS1531021,22072_1#151,ERR2497292
4464STDY6617581,ERS1531024,22072_1#153,ERR2497294
4464STDY6617584,ERS1531027,22072_1#154,ERR2497295
4464STDY6617585,ERS1531028,22072_1#155,ERR2497296
4464STDY6617590,ERS1531033,22072_1#157,ERR2497298
4464STDY6617592,ERS1531035,22072_1#159,ERR2497300
4464STDY6617593,ERS1531036,22072_1#160,ERR2497301
4464STDY6617594,ERS1531037,22072_1#161,ERR2497302
4464STDY6617595,ERS1531038,22072_1#162,ERR2497303
4464STDY6617596,ERS1531039,22072_1#163,ERR2497304
4464STDY6617597,ERS1531040,22072_1#164,ERR2497305
4464STDY6617598,ERS1531041,22072_1#165,ERR2497306
4464STDY6617599,ERS1531042,22072_1#166,ERR2497307
4464STDY6617600,ERS1531043,22072_1#167,ERR2497308
4464STDY6617601,ERS1531044,22072_1#168,ERR2497309
4464STDY6617602,ERS1531045,22072_1#169,ERR2497310
4464STDY6617684,ERS1531126,22072_1#237,ERR2497378
4464STDY6617685,ERS1531127,22072_1#238,ERR2497379
4464STDY6617686,ERS1531128,22072_1#239,ERR2497380
4464STDY6617687,ERS1531129,22072_1#240,ERR2497381
4464STDY6617688,ERS1531130,22072_1#241,ERR2497382
4464STDY6617690,ERS1531132,22072_1#243,ERR2497384
4464STDY6617692,ERS1531134,22072_1#245,ERR2497386
4464STDY6617693,ERS1531135,22072_1#246,ERR2497387
4464STDY6617694,ERS1531136,22072_1#247,ERR2497388
4464STDY6617695,ERS1531137,22072_1#248,ERR2497389
4464STDY6617696,ERS1531138,22072_1#249,ERR2497390
4464STDY6617698,ERS1531140,22072_1#250,ERR2497391
