Taxon,Cluster
26141_1#227,1
28099_1#300,1
28099_1#254,1
28099_1#237,1
28099_1#322,1
28099_1#188,1
28099_2#126,1
28099_1#175,1
26141_1#237,1
26141_1#217,1
28099_1#333,1
28099_2#320,1
28099_1#253,1
28099_2#96,1
28099_1#185,1
28099_2#138,1
28099_1#95,1
28099_2#80,1
26141_1#172,1
28099_1#260,1
26141_1#279,1
28099_2#16,1
26141_1#292,1
26141_1#211,1
28099_1#57,1
26141_1#150,1
26141_1#257,1
28099_1#120,1
26141_1#255,1
28099_1#65,1
28099_1#99,1
28099_1#151,1
28099_1#22,1
26141_1#139,1
26141_1#137,1
28099_2#117,1
26141_1#153,1
26141_1#166,1
26141_1#278,1
26141_1#173,1
28099_1#19,1
28099_1#357,1
28099_1#51,1
26141_1#151,1
28099_2#154,1
26141_1#228,1
28099_1#342,1
26141_1#156,1
26141_1#280,1
26141_1#277,1
28099_1#91,1
28099_1#294,1
28099_2#219,1
28099_1#203,2
28099_1#361,2
28099_1#230,2
28099_1#353,2
28099_2#84,2
26141_1#250,2
28099_1#132,2
28099_1#102,2
26141_1#138,2
26141_1#297,2
28099_1#106,2
28099_1#286,2
28099_1#317,2
28099_1#103,2
28099_1#47,2
28099_1#35,2
28099_1#209,2
26141_1#251,2
28099_2#304,2
28099_1#193,2
28099_2#130,2
26141_1#207,2
28099_1#179,2
26141_1#260,2
26141_1#295,2
28099_2#146,2
28099_1#195,2
28099_1#346,2
28099_2#291,2
28099_1#176,2
28099_2#48,2
28099_1#136,2
28099_1#282,2
28099_2#259,2
26141_1#298,2
28099_1#69,2
28099_1#41,2
28099_1#315,2
26141_1#182,2
26141_1#179,2
28099_1#301,2
26141_1#218,2
26141_1#236,2
26141_1#187,2
28099_2#24,2
28099_2#210,2
26141_1#209,3
28099_2#316,3
28099_1#26,3
26141_1#293,3
28099_1#89,3
28099_1#118,3
28099_1#256,3
28099_1#217,3
28099_1#318,3
28099_1#334,3
28099_1#49,3
28099_1#252,3
28099_1#85,3
28099_1#220,3
28099_1#327,3
26141_1#170,3
28099_1#337,3
28099_1#187,3
28099_1#338,3
26141_1#201,3
26141_1#286,3
26141_1#181,3
28099_1#367,3
28099_1#163,3
28099_1#79,3
28099_1#141,3
28099_1#30,3
28099_2#295,3
28099_1#208,3
26141_1#285,3
28099_1#156,3
28099_1#7,3
28099_2#105,3
26141_1#171,3
28099_1#288,3
26141_1#157,3
28099_1#149,3
28099_1#378,3
26141_1#152,3
28099_1#268,3
28099_1#168,3
28099_1#314,3
28099_1#326,3
28099_1#155,3
26141_1#258,3
26141_1#169,4
28099_2#239,4
28099_1#160,4
28099_1#297,4
28099_1#78,4
28099_1#347,4
28099_1#341,4
26141_1#242,4
28099_1#289,4
28099_1#169,4
26141_1#140,4
26141_1#178,4
26141_1#159,4
28099_1#129,4
28099_1#261,4
28099_2#76,4
28099_1#123,4
28099_2#206,4
26141_1#254,4
28099_1#331,4
26141_1#221,4
28099_1#311,4
28099_1#127,4
28099_1#377,4
28099_1#181,4
28099_2#113,4
28099_1#116,4
28099_2#263,4
28099_2#97,4
28099_2#101,4
28099_1#366,4
26141_1#195,4
26141_1#161,4
28099_1#370,5
28099_1#110,5
28099_2#287,5
26141_1#198,5
28099_1#269,5
26141_1#194,5
28099_1#305,5
28099_1#205,5
28099_1#27,5
28099_2#255,5
26141_1#224,5
28099_1#335,5
26141_1#200,5
26141_1#143,5
26141_1#142,5
26141_1#197,5
28099_2#56,5
26141_1#168,5
28099_1#354,5
28099_1#365,5
28099_2#215,5
28099_2#182,5
28099_1#293,5
28099_1#309,5
26141_1#271,5
26141_1#160,5
26141_1#199,5
28099_1#115,6
28099_2#121,6
26141_1#247,6
28099_1#131,6
28099_1#177,6
28099_1#145,6
28099_1#2,6
28099_2#60,6
28099_1#152,6
28099_1#90,6
28099_1#112,6
26141_1#244,6
28099_2#8,6
26141_1#270,6
28099_1#125,6
28099_1#42,6
28099_1#280,6
26141_1#296,6
26141_1#299,6
26141_1#162,6
28099_1#266,6
28099_1#196,6
28099_1#350,7
28099_1#325,7
28099_1#59,7
28099_1#323,7
28099_1#171,7
28099_1#165,7
26141_1#232,7
26141_1#189,7
28099_2#162,7
28099_2#190,7
28099_1#245,7
26141_1#219,7
26141_1#190,7
26141_1#268,7
26141_1#206,7
26141_1#210,7
28099_1#379,7
26141_1#267,7
28099_1#180,8
26141_1#203,8
28099_2#158,8
26141_1#147,8
28099_1#233,8
26141_1#213,8
26141_1#146,8
28099_1#244,8
26141_1#183,8
26141_1#225,8
28099_1#50,8
28099_2#109,8
28099_1#46,8
26141_1#229,8
28099_1#53,8
26141_1#262,8
28099_1#381,8
26141_1#205,9
26141_1#145,9
26141_1#164,9
26141_1#135,9
26141_1#248,9
28099_1#71,9
26141_1#165,9
26141_1#256,9
28099_1#204,9
28099_1#285,9
26141_1#136,9
26141_1#134,9
26141_1#274,9
28099_1#54,9
26141_1#204,9
26141_1#212,9
28099_1#303,10
28099_1#226,10
26141_1#214,10
28099_1#302,10
28099_2#88,10
28099_1#218,10
28099_1#264,10
28099_2#166,10
28099_1#39,10
28099_1#77,10
28099_1#343,10
26141_1#226,10
28099_1#339,10
28099_1#359,10
28099_2#283,10
26141_1#265,11
28099_1#213,11
26141_1#261,11
26141_1#215,11
26141_1#282,11
26141_1#180,11
26141_1#241,11
26141_1#275,11
28099_1#133,11
28099_1#321,11
26141_1#263,11
26141_1#177,11
28099_1#43,11
28099_2#194,12
28099_1#14,12
28099_1#111,12
28099_1#70,12
26141_1#191,12
28099_1#119,12
28099_1#173,12
28099_2#40,12
28099_1#371,12
28099_1#73,12
26141_1#239,12
26141_1#276,12
28099_1#93,13
28099_1#61,13
28099_1#100,13
28099_1#373,13
26141_1#208,13
28099_1#246,13
28099_1#345,13
28099_1#81,13
28099_1#248,13
28099_1#358,13
28099_1#272,14
28099_2#174,14
28099_1#351,14
26141_1#174,14
28099_1#232,14
28099_2#170,14
28099_2#235,14
28099_2#12,14
28099_1#75,15
28099_1#241,15
28099_1#319,15
26141_1#222,15
28099_1#114,15
26141_1#273,15
26141_1#223,15
28099_1#172,15
28099_1#242,16
28099_2#36,16
28099_1#135,16
28099_1#211,16
28099_1#273,16
28099_2#44,16
28099_1#229,16
28099_1#128,16
28099_1#249,17
28099_1#159,17
28099_1#330,17
28099_1#23,17
26141_1#141,17
28099_1#144,17
28099_1#18,17
28099_1#82,18
26141_1#243,18
26141_1#186,18
28099_1#383,18
28099_1#382,18
26141_1#246,18
28099_2#247,18
28099_1#137,19
28099_1#374,19
28099_2#231,19
28099_1#222,19
28099_1#104,19
28099_1#307,19
26141_1#144,20
28099_1#207,20
28099_1#167,20
28099_1#306,20
28099_1#349,20
26141_1#154,21
28099_2#32,21
28099_1#199,21
28099_1#212,21
28099_1#38,21
28099_1#31,22
28099_1#225,22
26141_1#220,22
28099_1#221,22
28099_1#161,22
28099_1#270,23
28099_2#198,23
28099_1#277,23
28099_1#83,23
28099_1#274,23
28099_1#191,24
28099_1#363,24
28099_1#34,24
28099_2#243,24
26141_1#202,25
28099_1#257,25
28099_1#375,25
28099_1#234,26
26141_1#230,26
28099_2#92,26
28099_1#58,27
26141_1#252,27
28099_1#362,27
28099_1#236,28
26141_1#291,28
28099_1#143,28
26141_1#148,29
26141_1#155,29
26141_1#192,30
26141_1#193,30
26141_1#240,31
28099_1#10,31
26141_1#266,32
26141_1#253,32
28099_1#284,33
26141_1#287,33
28099_1#1,34
28099_1#11,34
28099_2#3,35
28099_1#216,35
26141_1#149,36
26141_1#158,37
26141_1#175,38
26141_1#176,39
26141_1#184,40
26141_1#196,41
26141_1#259,42
26141_1#272,43
26141_1#283,44
26141_1#284,45
26141_1#288,46
26141_1#289,47
26141_1#290,48
28099_1#107,49
28099_1#139,50
28099_1#148,51
28099_1#153,52
28099_1#157,53
28099_1#189,54
28099_1#192,55
28099_1#200,56
28099_1#214,57
28099_1#224,58
28099_1#228,59
28099_1#238,60
28099_1#240,61
28099_1#250,62
28099_1#258,63
28099_1#278,64
28099_1#281,65
28099_1#313,66
28099_1#329,67
28099_1#355,68
28099_1#55,69
28099_1#62,70
28099_1#63,71
28099_1#66,72
28099_1#74,73
28099_1#86,74
28099_1#87,75
28099_1#94,76
28099_1#98,77
28099_2#142,78
28099_2#150,79
28099_2#178,80
28099_2#186,81
28099_2#223,82
28099_2#227,83
28099_2#251,84
28099_2#299,85
28099_2#308,86
28099_2#64,87
