Taxon,Cluster
34154_7#116,1
34154_7#166,1
34154_7#235,1
34154_7#12,1
34154_7#10,1
34154_7#74,1
34154_7#240,1
34154_7#102,1
34154_7#338,1
34154_7#84,1
34154_7#123,1
34154_7#317,2
34154_7#352,2
34154_7#58,2
34154_7#289,2
34154_7#374,2
34154_7#234,2
34154_7#218,2
34154_7#148,2
34154_7#227,2
34154_7#255,2
34154_7#69,2
34154_7#55,3
34154_7#27,3
34154_7#248,3
34154_7#47,3
34154_7#59,3
34154_7#108,3
34154_7#369,3
34154_7#80,3
34154_7#340,3
34154_7#318,4
34154_7#20,4
34154_7#22,4
34154_7#138,4
34154_7#136,4
34154_7#130,4
34154_7#104,4
34154_7#239,4
34154_7#30,5
34154_7#376,5
34154_7#213,5
34154_7#353,5
34154_7#172,5
34154_7#118,5
34154_7#291,5
34154_7#191,6
34154_7#298,6
34154_7#345,6
34154_7#48,6
34154_7#44,6
34154_7#221,6
34154_7#94,7
34154_7#160,7
34154_7#283,7
34154_7#268,7
34154_7#26,7
34154_7#100,8
34154_7#75,8
34154_7#378,8
34154_7#142,8
34154_7#103,9
34154_7#267,9
34154_7#6,9
34154_7#226,9
34154_7#125,10
34154_7#146,10
34154_7#312,10
34154_7#260,10
34154_7#14,11
34154_7#23,11
34154_7#361,11
34154_7#95,11
34154_7#144,12
34154_7#174,12
34154_7#299,12
34154_7#307,12
34154_7#333,13
34154_7#207,13
34154_7#164,13
34154_7#262,13
34154_7#4,14
34154_7#168,14
34154_7#216,14
34154_7#24,14
34154_7#18,15
34154_7#296,15
34154_7#344,15
34154_7#343,15
34154_7#60,16
34154_7#367,16
34154_7#63,16
34154_7#224,16
34154_7#76,17
34154_7#158,17
34154_7#131,17
34154_7#178,18
34154_7#152,18
34154_7#42,18
34154_7#232,19
34154_7#322,19
34154_7#162,19
34154_7#19,20
34154_7#252,20
34154_7#189,20
34154_7#325,21
34154_7#269,21
34154_7#324,21
34154_7#316,22
34154_7#31,22
34154_7#49,22
34154_7#83,23
34154_7#359,23
34154_7#90,23
34154_7#5,24
34154_7#106,24
34154_7#11,25
34154_7#348,25
34154_7#279,26
34154_7#112,26
34154_7#13,27
34154_7#3,27
34154_7#155,28
34154_7#52,28
34154_7#179,29
34154_7#8,29
34154_7#40,30
34154_7#185,30
34154_7#231,31
34154_7#56,31
34154_7#259,32
34154_7#242,32
34154_7#254,33
34154_7#303,33
34154_7#274,34
34154_7#281,34
34154_7#70,35
34154_7#287,35
34154_7#375,36
34154_7#306,36
34154_7#36,37
34154_7#32,37
34154_7#46,38
34154_7#351,38
34154_7#360,39
34154_7#39,39
34154_7#62,40
34154_7#368,40
34154_7#38,41
34154_7#96,41
34154_7#50,42
34154_7#54,42
34154_7#77,43
34154_7#88,43
34154_7#91,44
34154_7#98,44
34154_7#105,45
34154_7#110,46
34154_7#119,47
34154_7#122,48
34154_7#134,49
34154_7#140,50
34154_7#150,51
34154_7#153,52
34154_7#16,53
34154_7#176,54
34154_7#183,55
34154_7#184,56
34154_7#194,57
34154_7#197,58
34154_7#199,59
34154_7#202,60
34154_7#204,61
34154_7#205,62
34154_7#210,63
34154_7#212,64
34154_7#219,65
34154_7#247,66
34154_7#249,67
34154_7#25,68
34154_7#263,69
34154_7#271,70
34154_7#276,71
34154_7#277,72
34154_7#294,73
34154_7#304,74
34154_7#313,75
34154_7#323,76
34154_7#33,77
34154_7#330,78
34154_7#331,79
34154_7#332,80
34154_7#339,81
34154_7#366,82
34154_7#379,83
34154_7#380,84
34154_7#41,85
34154_7#68,86
34154_7#78,87
34154_7#86,88
34154_7#87,89
34154_7#89,90
34154_7#97,91
