"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"2168891"	"34154_7_216.1"	"*"	"34154_7_216"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
0	"1"	"2151036"	"34154_7_4.1"	"95.98"	"34154_7_4"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
1	"0"	"2164198"	"34154_7_24.1"	"*"	"34154_7_24"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
2	"0"	"1731872"	"34154_7_142.1"	"*"	"34154_7_142"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
3	"0"	"1218301"	"34154_7_168.1"	"*"	"34154_7_168"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
4	"0"	"826312"	"34154_7_378.1"	"*"	"34154_7_378"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
5	"0"	"820190"	"34154_7_14.1"	"100.00"	"34154_7_14"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
5	"1"	"820196"	"34154_7_95.2"	"*"	"34154_7_95"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
6	"0"	"788357"	"34154_7_100.1"	"*"	"34154_7_100"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
6	"1"	"579325"	"34154_7_75.2"	"99.99"	"34154_7_75"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
7	"0"	"788051"	"34154_7_176.1"	"*"	"34154_7_176"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
8	"0"	"210188"	"34154_7_23.10"	"*"	"34154_7_23"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
8	"1"	"128979"	"34154_7_361.14"	"99.90"	"34154_7_361"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
9	"0"	"139516"	"34154_7_330.12"	"*"	"34154_7_330"	"contigs-SHV_27.clust.clstr"	"len_diff_0.6"
