Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	ST Complex	Lineage	Subspecies	adk	fumC	gyrB	icd	mdh	purA	recA
ESC_AA2067AA	Ecoli-CHU-12	traces-0bhmkCz;7GeneMLST;ND;;NA		Human	Human	2011				Europe	France			Besancon				CHU J.Minjoz Besancon					nonpathogen			None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2067AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2069AA	Meng9	traces-0TllFjM;7GeneMLST;ND;;NA		Human	Human	1996				South America	Brazil			Salvador				FIOCRUZ					Pathogen	NMEC		None	NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA2069AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2070AA	06-EGY45	traces-0vnYiHW;7GeneMLST;ND;;NA			Bovine	2006				Africa	Egypt			Ismailia				Iman Shabana			NM		Pathogen			Diarrhoea	NA	NA	Diarrhoea	NA	NA	2015-08-26	2015-08-26	ESC_AA2070AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2071AA	SR30	traces-0OOHvyP;7GeneMLST;ND;;NA		Human	Human	2001				South America	Brazil			Salvador				FIOCRUZ					Pathogen	UPEC		None	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2071AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2072AA	ZOx117	traces-0nWUyUQ;7GeneMLST;ND;;NA		Human	Human	1995				Africa	Ghana							M. Maiden					Pathogen			Diarrhoea	NA	NA	Diarrhoea	NA	NA	2015-08-26	2015-08-26	ESC_AA2072AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2073AA	Meng447	traces-0RHbtGx;7GeneMLST;ND;;NA		Human	Human	2006				South America	Brazil			Salvador				FIOCRUZ					Pathogen	ExPEC		Meningitis	NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA2073AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2074AA	K28-57	traces-0WiNbJk;7GeneMLST;ND;;NA		Human	Human	2004				Europe	Russia			Archangel									Pathogen			UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2074AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2075AA	D047	traces-0fvxNWw;7GeneMLST;ND;;NA		Human	Human	2001				South America	Brazil			Salvador				FIOCRUZ					Pathogen	UPEC		None	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2075AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2076AA	246-34-D	traces-0YgTpEp;7GeneMLST;ND;;NA		Human	Human	2006				Asia	India			Kolkata				JMI Laboratories					Pathogen			Wound infection	NA	NA	Abscess	NA	NA	2015-08-26	2015-08-26	ESC_AA2076AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2077AA	VB 996556	traces-0TEgesH;7GeneMLST;ND;;NA		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		On.t.	On.t.:H11		Pathogen	UPEC		UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2077AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2078AA	L66	traces-0ydZSGl;7GeneMLST;ND;;NA		Human	Human	2007				North America	Canada			Vancouver, BC				Johann D.D. Pitout				A	Pathogen	ESBL CTX-M-15		None	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2078AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2079AA	IMT15509	traces-0IAsYho;7GeneMLST;ND;;NA		Livestock	Swine	2005				Europe	Germany							IMT FU-Berlin					Pathogen	ExPEC		Genital tract infection	NA	NA	UGTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2079AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2080AA	G36	traces-0fHDVJi;7GeneMLST;ND;;NA		Human	Human	1995				Africa	Nigeria			Ipetumodu				Okeke					Pathogen	EAEC		Diarrhoea	NA	NA	Diarrhoea	NA	NA	2015-08-26	2015-08-26	ESC_AA2080AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2081AA	PC PMQR211	traces-0IusomU;7GeneMLST;ND;;NA		Human	Human	2008				Europe	France			Colmar				CHU J.Minjoz Besancon					nonpathogen			None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2081AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2082AA	G85	traces-0mbytgQ;7GeneMLST;ND;;NA		Human	Human	1995				Africa	Nigeria			Ipetumodu				Okeke					Pathogen	EAEC		Diarrhoea	NA	NA	Diarrhoea	NA	NA	2015-08-26	2015-08-26	ESC_AA2082AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2083AA	Meng299	traces-0wUqGGW;7GeneMLST;ND;;NA		Human	Human	2003				South America	Brazil			Salvador				FIOCRUZ					Pathogen	ExPEC		None	NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA2083AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2084AA	ABU 745/3843	traces-0ZenBTj;7GeneMLST;ND;;NA		Human	Human					Europe	Germany							U.Dobrindt					Pathogen	UPEC		None	NA	NA	ABU	NA	NA	2015-08-26	2015-08-26	ESC_AA2084AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2085AA	Ec1466	traces-0QnhyNl;7GeneMLST;ND;;NA		Human	Human	2011				Europe	Romania			Bucharest				Molecular Epidemiology Laboratory, Cantacuzino NIRDMI				A	Pathogen	ExPEC		blood culture	NA	NA	Bacteremia	NA	NA	2015-08-26	2015-08-26	ESC_AA2085AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2086AA	CV44.1H	traces-0wmPKzM;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Spain			Madrid				Microbiology, Hospital Ramon y Cajal (IRYCIS)				A		ESBL CTX-M-14		None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2086AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
