ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
15966_8#21	5315120	4773338	526279	32493	2844	0	12659
15966_8#57	5315120	4805887	494903	30275	2816	0	11514
15966_8#86	5315120	4847541	446914	27752	6081	0	14584
15966_8#87	5315120	4782517	518007	27774	2259	0	12337
15966_8#88	5315120	4522299	712421	202514	2000	0	78400
15966_8#89	5315120	4802269	495928	26311	2459	0	14464
15966_8#91	5315120	4915817	386810	23843	2941	0	9552
15966_8#93	5315120	4811864	488475	25836	2272	0	12509
15966_8#95	5315120	4823129	371016	23574	12132	0	108843
16228_1#11	5315120	4367512	849354	212752	2359	0	95895
16228_1#13	5315120	4808733	484337	20204	2720	0	19330
16228_1#14	5315120	4796718	497468	21653	2261	0	18673
16228_1#15	5315120	4745911	548530	22573	2129	0	18550
16228_1#18	5315120	4812117	478269	23035	2747	0	21987
16228_1#19	5315120	4874320	423413	20082	2263	0	15124
16228_1#2	5315120	4812610	484909	23023	2492	0	15109
16228_1#21	5315120	4814991	482264	21644	2580	0	15285
16228_1#23	5315120	4840229	461275	21003	2109	0	11507
16228_1#26	5315120	4852141	440051	23659	3004	0	19924
16228_1#28	5315120	4794643	500663	22122	2704	0	17110
16228_1#29	5315120	4638333	626188	22102	2452	0	48147
16228_1#3	5315120	4850676	446849	20157	2147	0	15448
16228_1#30	5315120	4805994	491721	19376	2191	0	15214
16228_1#31	5315120	4815738	480925	20405	2214	0	16243
16228_1#32	5315120	4760824	530588	21019	2564	0	21144
16228_1#34	5315120	4761639	531080	17835	2526	0	19875
16228_1#36	5315120	4807810	485576	19348	2449	0	19285
16228_1#38	5315120	4855338	443202	20020	2396	0	14184
16228_1#39	5315120	4839977	460416	20334	2213	0	12514
16228_1#4	5315120	4570374	665383	182783	2337	0	77026
16228_1#40	5315120	4784374	510260	17804	2205	0	18281
16228_1#47	5315120	4868746	430293	19978	2559	0	13522
16228_1#5	5315120	4809721	488604	20264	2291	0	14504
16228_1#50	5315120	4790484	506291	21447	2432	0	15913
16228_1#51	5315120	4783101	510835	20776	2608	0	18576
16228_1#52	5315120	4790791	500870	20760	2870	0	20589
16228_1#53	5315120	4745282	546543	21035	2841	0	20454
16228_1#54	5315120	4375355	831698	198077	2282	0	105785
16228_1#55	5315120	4689949	593446	20993	3048	0	28677
16228_1#56	5315120	4823039	470245	18733	2762	0	19074
16228_1#57	5315120	4787425	501539	20611	2301	0	23855
16228_1#58	5315120	4824083	472087	20390	2475	0	16475
