Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp	NGA50
34154_7_100.contigs_spades	44	37	28	22	18	16	5592949	5588721	5559784	5522086	5462711	5398487	42	788357	5592079	5682322	57.14	57.12	668442	668442	344025	344025	4	4	8	8	3.67	-
34154_7_102.contigs_spades	70	66	43	40	37	33	5466463	5464682	5395078	5379290	5342384	5211687	67	520323	5465450	5682322	57.28	57.12	190918	190918	99888	96171	10	10	20	21	8.49	-
34154_7_103.contigs_spades	40	36	28	26	21	16	5482923	5481176	5455460	5437758	5339978	5184395	37	773769	5481797	5682322	57.23	57.12	579329	579329	350817	350817	5	5	8	8	5.03	-
34154_7_104.contigs_spades	54	48	38	35	26	19	5383203	5379977	5356738	5333666	5185218	4925246	51	593536	5382026	5682322	57.44	57.12	331270	331270	164776	142884	7	7	12	13	7.15	-
34154_7_105.contigs_spades	80	74	63	56	38	29	5253691	5251119	5223244	5168213	4847510	4506168	76	455743	5252167	5682322	57.37	57.12	182873	156027	82411	68560	10	11	21	25	1.68	-
34154_7_106.contigs_spades	58	46	31	25	19	14	5657920	5651300	5609695	5564513	5451438	5272716	54	1067181	5656505	5682322	57.11	57.12	442852	442852	303498	303498	5	5	9	9	12.02	-
34154_7_108.contigs_spades	44	40	28	23	21	17	5595402	5593663	5555234	5525518	5492681	5346672	41	943575	5594182	5682322	57.19	57.12	622199	622199	217019	217019	4	4	8	8	29.60	-
34154_7_10.contigs_spades	83	64	46	41	37	32	5477871	5470130	5413159	5380000	5324123	5148298	67	860903	5471950	5682322	57.28	57.12	190680	171881	96139	91249	8	9	19	21	11.93	-
34154_7_110.contigs_spades	46	38	25	19	13	9	5607148	5602388	5562229	5516669	5409284	5266143	43	2255736	5606068	5682322	57.51	57.12	855851	855851	371708	356433	2	2	4	5	4.62	-
34154_7_112.contigs_spades	48	42	27	23	18	14	5457329	5454707	5408739	5385153	5302404	5149133	44	1344114	5455977	5682322	57.33	57.12	702061	508701	375200	235848	3	4	6	7	8.14	-
34154_7_113.contigs_spades	1137	733	440	310	128	45	11189188	10970602	10226133	9282683	6380818	3501890	990	209416	11150264	5682322	57.13	57.12	29272	58346	14202	42144	99	33	234	62	10.38	-
34154_7_116.contigs_spades	48	44	37	34	28	26	5242172	5239490	5214055	5195661	5078254	5011666	48	682465	5242172	5682322	57.48	57.12	298228	213409	118630	101309	7	8	14	17	12.27	-
