strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
15966_8#21.contigs_velvet	Klebsiella pneumoniae	strong	52	350097	669893	5379195	yes (9439)	ambiguous_bases	ST609-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi177	KL114	none	Very high	99.83%		O1v1	O1	none	Very high	97.97%		ST609-1LV	3	6	1	3	1	1	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15966_8#57.contigs_velvet	Klebsiella pneumoniae	strong	76	294799	598541	5879774	yes (5190)	ambiguous_bases	ST14	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.97%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
15966_8#86.contigs_velvet	Klebsiella pneumoniae	strong	48	390704	900899	5453581	yes (6143)	ambiguous_bases	ST37	1	ybt 15; ICEKp11	273-2LV	-	0	-	0	-	0	-	0	-	wzi14	KL14	-	High	99.97%	KL14_19_manC	O3b	O3b	?-	Good	99.31%	O3b_01_manC,O3b_08_wbdC	ST37	2	9	2	1	13	1	16	6	15	5	4	1	37	44	32	1	4	26*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15966_8#87.contigs_velvet	Klebsiella pneumoniae	strong	55	292753	1227660	5766474	yes (3295)	ambiguous_bases	ST17	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi360	KL122	none	Very high	99.98%		O2v2	O2	none	Very high	98.52%		ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
15966_8#88.contigs_velvet	Klebsiella variicola subsp. variicola	strong	37	347270	649376	5490924	yes (3539)	ambiguous_bases	ST1139-3LV	0	-	0	-	0	-	0	-	0	-	0	-	-	KL49	?-+	Low	99.59%	KL49_18_manB	O3/O3a	O3/O3a	?-	Good	98.65%	O3/O3a_02_manB	ST1139-3LV	16	18	30	76	166	29	178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15966_8#89.contigs_velvet	Klebsiella pneumoniae	strong	51	216739	860832	5317672	yes (2954)	ambiguous_bases	ST4073	0	-	0	-	0	-	0	-	0	-	0	-	wzi5	KL5	?-	Good	99.96%	KL5_14	O1v1	O1	none	Very high	98.11%		ST4073	12	6	1	3	8	5	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15966_8#91.contigs_velvet	Klebsiella pneumoniae	strong	62	225484	1065718	5691981	yes (7183)	ambiguous_bases	ST348	1	ybt 14; ICEKp5	132-6LV	-	0	-	0	-	0	-	0	-	wzi94	KL62	none	Very high	99.94%		O1v1	O1	none	Very high	98.86%		ST348	2	1	20	1	12	15	16	4	4	5*	120	1*	263*-69%	273*	2	4	4	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15966_8#93.contigs_velvet	Klebsiella pneumoniae	strong	28	369848	1441986	5126380	yes (2825)	ambiguous_bases	ST106-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi547	KL43	-	Good	97.08%	KL43_15_wcpZ	O1v1	O1	none	Very high	97.78%		ST106-1LV	4	1	2	1	1	1	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15966_8#95.contigs_velvet	Klebsiella pneumoniae	strong	59	598889	1422108	5528251	yes (13268)	ambiguous_bases	ST874	0	-	0	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	O1	none	Very high	99.48%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#11.contigs_velvet	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	69	434141	742928	5404431	yes (1062)	ambiguous_bases	ST1907-2LV	0	-	0	-	0	-	0	-	0	-	0	-	-	KL132	-*	High	97.34%	KL132_20_wcpG	O12	O12	none	Very high	99.22%		ST1907-2LV	18	22	26	59	151*	38	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#13.contigs_velvet	Klebsiella pneumoniae	strong	77	315621	526438	5883009	yes (3421)	ambiguous_bases	ST14	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.97%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
16228_1#14.contigs_velvet	Klebsiella pneumoniae	strong	53	379353	800198	5707917	yes (3741)	ambiguous_bases	ST48	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi62	KL62	?-	Good	99.72%	KL62_12	O1v1	O1	none	Very high	97.86%		ST48	2	5	2	2	7	1	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
16228_1#15.contigs_velvet	Klebsiella pneumoniae	strong	47	358949	880320	5374896	yes (5015)	ambiguous_bases	ST1425-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi108	KL118	?-	None	99.23%	KL118_12_wcqP,KL118_13_wzx,KL118_14_wcuN,KL118_20_rmlC	OL101	OL101	?-+	Good	95.16%	OL101_04_rfbC,OL101_09_glycosylhydrolase	ST1425-1LV	2	6	1	1	1	7	42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#18.contigs_velvet	Klebsiella pneumoniae	strong	70	384848	1652811	5719931	yes (5254)	ambiguous_bases	ST664	0	-	0	-	0	-	0	-	0	-	0	-	wzi62	KL62	none	Very high	99.82%		O1v1	O1	none	Very high	97.89%		ST664	52	1	20	2	1	1	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#19.contigs_velvet	Klebsiella pneumoniae	strong	30	342703	1337411	5379430	yes (4208)	ambiguous_bases	ST45	1	ybt 10; ICEKp4	78	-	0	-	0	-	0	-	0	-	wzi101	KL24	none	Very high	99.02%		O2v1	O2	none	Very high	98.76%		ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#21.contigs_velvet	Klebsiella pneumoniae	strong	69	357732	582979	5491510	yes (11481)	ambiguous_bases	ST161-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi202	KL127	?	Good	99.76%		OL101	OL101	?*	Good	92.10%		ST161-1LV	2	1	2	1	394*	4	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#23.contigs_velvet	Klebsiella pneumoniae	strong	82	335661	816635	5620716	yes (7288)	ambiguous_bases	ST198	0	-	0	-	0	-	0	-	0	-	0	-	wzi85	KL30	*	Very high	96.45%		O1v1	O1	none	Very high	98.16%		ST198	25	33	1	26	7	1	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#26.contigs_velvet	Klebsiella pneumoniae	strong	110	237328	1239745	5738423	yes (8388)	ambiguous_bases	ST4228-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi74	KL103	*	Very high	96.71%		O1v1	O1	none	Very high	97.73%		ST4228-1LV	2	1	1	1	394*	161	34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#28.contigs_velvet	Klebsiella pneumoniae	strong	55	370889	858574	5546990	yes (3806)	ambiguous_bases	ST101-1LV	1	ybt 6; ICEKp5	63	-	0	-	0	-	0	-	0	-	wzi29	KL106	none	Good	99.94%		O1v2	O1	none	Very high	98.53%		ST101-1LV	2	6	1	5	24*	1	6	22	22	6	24	16	53	51	9	17	5	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#29.contigs_velvet	Klebsiella pneumoniae	strong	121	139068	289183	5554961	yes (5095)	ambiguous_bases	ST3119	0	-	0	-	0	-	0	-	0	-	0	-	wzi458	KL39	?-*	Good	91.24%	KL39_14	O2v2	O2	?	Good	98.31%		ST3119	2	1	1	6	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#2.contigs_velvet	Klebsiella pneumoniae	strong	69	360830	1107217	5717347	yes (3656)	ambiguous_bases	ST664	0	-	0	-	0	-	0	-	0	-	0	-	wzi62	KL62	?	Good	99.81%		O1v1	O1	none	Very high	97.89%		ST664	52	1	20	2	1	1	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#30.contigs_velvet	Klebsiella pneumoniae	strong	36	429016	800318	5536257	yes (5073)	ambiguous_bases	ST14-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.99%		ST14-1LV	1	6	1	1	394*	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#31.contigs_velvet	Klebsiella pneumoniae	strong	127	228115	535828	5671080	yes (3818)	ambiguous_bases	ST39	0	-	0	-	0	-	0	-	0	-	0	-	wzi83	KL23	none	Very high	99.91%		O1v2	O1	none	Very high	98.49%		ST39	2	1	2	4	9	1	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
