strain	species	species_match	contig_count	N50	largest_contig	ambiguous_bases	ST	virulence_score	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	rmpA	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN
34154_7#325.contigs_spades	Klebsiella pneumoniae	strong	118	378141	623293	yes	ST307	1	ybt 10; ICEKp4	88-1LV	-	0	-	0	-	0	-	-	wzi173	KL102	none	Very high	99.27%		O2v2	none	Very high	98.45%		ST307	4	1	2	52	1	1	7	3	12	4	3	3	35	108	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
strain	species	species_match	contig_count	N50	largest_contig	ambiguous_bases	ST	virulence_score	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	rmpA	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN
34154_7#100.contigs_spades	Klebsiella pneumoniae	strong	44	668442	788357	yes	ST45	1	ybt 10; ICEKp4	78	-	0	-	0	-	0	-	-	wzi101	KL24	none	Very high	99.01%		O2v1	none	Very high	98.76%		ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34154_7#102.contigs_spades	Klebsiella pneumoniae	strong	70	190918	520323	yes	ST340	0	-	0	-	0	-	0	-	0	-	-	wzi50	KL15	none	Very high	99.80%		O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34154_7#103.contigs_spades	Klebsiella pneumoniae	strong	40	579329	773769	yes	ST101	0	-	0	-	0	-	0	-	0	-	-	wzi137	KL17	none	Very high	99.99%		O1v1	none	Very high	98.03%		ST101	2	6	1	5	4	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34154_7#104.contigs_spades	Klebsiella pneumoniae	strong	54	331270	593536	yes	ST152	0	-	0	-	0	-	0	-	0	-	-	wzi110	KL149	none	Very high	99.98%		O4	none	Very high	99.71%		ST152	2	3	2	1	1	4	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34154_7#105.contigs_spades	Klebsiella pneumoniae	strong	80	182873	455743	yes	ST34	0	-	0	-	0	-	0	-	0	-	-	-	KL23	?	Good	99.45%		O2v2	none	Very high	98.47%		ST34	2	3	6	1	9	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34154_7#106.contigs_spades	Klebsiella pneumoniae	strong	58	442852	1067181	yes	ST14	1	ybt 9; ICEKp3	183-2LV	-	0	-	0	-	0	-	-	wzi2	KL2	none	Very high	99.74%		O1v1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	5	11	6*	5	1	25	37	9	5*	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34154_7#108.contigs_spades	Klebsiella pneumoniae	strong	44	622199	943575	yes	ST607	1	ybt 14; ICEKp5?	131-4LV	-	0	-	0	-	0	-	-	wzi133	KL25	-	High	98.52%	KL25_09_wfeD	O1v1	none	Very high	98.02%		ST607	2	1	2	80	10	1	155	4	4	5	4	1	27	184*	2*	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34154_7#10.contigs_spades	Klebsiella pneumoniae	strong	83	190680	860903	yes	ST340	0	-	0	-	0	-	0	-	0	-	-	wzi50	KL15	none	Very high	99.80%		O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
