id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
.34154_7_216.1	0	2	2168891	1	100	100%
.34154_7_4.1	0	2	2151036	0	95.98%	99%
.34154_7_24.1	1	1	2164198	1	100	100%
.34154_7_142.1	2	3	1731872	1	100	100%
.34154_7_100.1	2	3	788357	0	100.00%	45%
.34154_7_75.2	2	3	579325	0	99.99%	33%
.34154_7_168.1	3	1	1218301	1	100	100%
.34154_7_378.1	4	1	826312	1	100	100%
.34154_7_95.2	5	4	820196	1	100	100%
.34154_7_14.1	5	4	820190	0	100.00%	99%
.34154_7_23.10	5	4	210188	0	99.97%	25%
.34154_7_361.14	5	4	128979	0	99.90%	15%
.34154_7_176.1	6	1	788051	1	100	100%
.34154_7_330.12	7	1	139516	1	100	100%
