lane,ref_bases,bases_mapped,depth_sum
./SRR933375_filtered/snps.bam,5174631,5013609,124528731
./ERR434926_filtered/snps.bam,5174631,4921698,292077239
./ERR434584_filtered/snps.bam,5174631,5157474,347206564
./ERR161300_filtered/snps.bam,5174631,4766306,259577858
./ERR474263_filtered/snps.bam,5174631,5104605,331272102
./ERR161240_filtered/snps.bam,5174631,5132604,275751251
./ERR486702_filtered/snps.bam,5174631,5046868,316721041
./SRR2970648_filtered/snps.bam,5174631,5076822,697333725
./ERR474200_filtered/snps.bam,5174631,5064055,316223700
./ERR474057_filtered/snps.bam,5174631,4882814,281294228
./SRR933409_filtered/snps.bam,5174631,4951724,100860592
./SRR933463_filtered/snps.bam,5174631,4795793,92145965
./SRR3143625_filtered/snps.bam,5174631,5078292,341083560
./SRR2970640_filtered/snps.bam,5174631,4849322,132050191
./SRR1314586_filtered/snps.bam,5174631,4881705,186980586
./SRR1314225_filtered/snps.bam,5174631,5039196,263655013
./SRR2970712_filtered/snps.bam,5174631,5171057,199244579
./SRR2970766_filtered/snps.bam,5174631,5097719,1103870544
./SRR2970702_filtered/snps.bam,5174631,5115143,216103840
./SRR2970733_filtered/snps.bam,5174631,5064559,260360859
./SRR1314377_filtered/snps.bam,5174631,5049847,213526122
./SRR933347_filtered/snps.bam,5174631,4933187,169117263
./ERR161255_filtered/snps.bam,5174631,5087753,255577887
./ERR474133_filtered/snps.bam,5174631,5066897,298144192
./ERR435197_filtered/snps.bam,5174631,5134981,264900717
./SRR933349_filtered/snps.bam,5174631,4816570,245095661
./ERR264287_filtered/snps.bam,5174631,4978429,655694817
./ERR434716_filtered/snps.bam,5174631,5097825,290906377
./SRR1508889_filtered/snps.bam,5174631,5102942,215735793
./26141_1#292_filtered/snps.bam,5174631,5018127,283658220
./28099_1#19_filtered/snps.bam,5174631,5060178,264750798
./ERR435285_filtered/snps.bam,5174631,4907807,278806413
./SRR2970633_filtered/snps.bam,5174631,5073871,207479339
./28099_1#188_filtered/snps.bam,5174631,5061006,250575931
./ERR474047_filtered/snps.bam,5174631,5171447,247406216
./ERR474075_filtered/snps.bam,5174631,5061904,319637082
./SRR2970716_filtered/snps.bam,5174631,4845778,244435386
./ERR439721_filtered/snps.bam,5174631,5054023,305749573
./SRR933435_filtered/snps.bam,5174631,4960628,260211968
./28099_1#254_filtered/snps.bam,5174631,5009916,280524723
./28099_2#138_filtered/snps.bam,5174631,5099909,188738672
./ERR434550_filtered/snps.bam,5174631,5101181,331091871
./28099_2#219_filtered/snps.bam,5174631,5027223,259685207
./SRR933473_filtered/snps.bam,5174631,5095195,132716769
./26141_1#156_filtered/snps.bam,5174631,5081333,284542875
./ERR474192_filtered/snps.bam,5174631,5064300,321564116
./ERR474275_filtered/snps.bam,5174631,5088818,273545303
./ERR435384_filtered/snps.bam,5174631,5154517,286505244
./ERR435165_filtered/snps.bam,5174631,5144270,305016763
./SRR933465_filtered/snps.bam,5174631,4750600,96991123
./ERR434873_filtered/snps.bam,5174631,5055272,261558043
./15966_8#84_filtered/snps.bam,5174631,4903135,320298204
./SRR3143558_filtered/snps.bam,5174631,5051433,349286509
./SRR2970634_filtered/snps.bam,5174631,5073420,259191024
./ERR474217_filtered/snps.bam,5174631,5095711,314528274
./ERR062292_filtered/snps.bam,5174631,5096437,113880962
./SRR1314298_filtered/snps.bam,5174631,5070785,327884618
./ERR474113_filtered/snps.bam,5174631,5098431,292296896
./SRR2970699_filtered/snps.bam,5174631,4658778,246246849
./28099_1#294_filtered/snps.bam,5174631,5002852,218594342
./ERR435298_filtered/snps.bam,5174631,4866605,352135252
./ERR474185_filtered/snps.bam,5174631,5045946,355460455
./ERR486711_filtered/snps.bam,5174631,4988947,323490405
./ERR474231_filtered/snps.bam,5174631,5158063,363346485
./ERR474236_filtered/snps.bam,5174631,5103571,283695478
./ERR434352_filtered/snps.bam,5174631,4770850,347102518
./ERR161318_filtered/snps.bam,5174631,4911058,306483784
./15966_8#80_filtered/snps.bam,5174631,5106738,303535875
./ERR474248_filtered/snps.bam,5174631,5091656,348969443
./SRR933515_filtered/snps.bam,5174631,5090301,289509362
./ERR474247_filtered/snps.bam,5174631,5027133,330948677
./ERR474066_filtered/snps.bam,5174631,5171774,288391966
./ERR435480_filtered/snps.bam,5174631,5098170,367651301
./ERR434997_filtered/snps.bam,5174631,5027685,341149431
./ERR439670_filtered/snps.bam,5174631,5073219,347900652
./16228_1#42_filtered/snps.bam,5174631,4937355,391917046
./SRR1314360_filtered/snps.bam,5174631,5096159,374150336
./26141_1#257_filtered/snps.bam,5174631,5010684,290960064
./ERR161315_filtered/snps.bam,5174631,4688376,287443870
./26141_1#172_filtered/snps.bam,5174631,4999522,286449963
./SRR933353_filtered/snps.bam,5174631,4710376,212203015
./SRR2970705_filtered/snps.bam,5174631,5171568,255875618
./ERR486695_filtered/snps.bam,5174631,4862420,354144485
./SRR3143610_filtered/snps.bam,5174631,4686543,269123145
./ERR474112_filtered/snps.bam,5174631,5098035,273360838
./ERR474169_filtered/snps.bam,5174631,5087625,308124550
./28099_1#91_filtered/snps.bam,5174631,5010438,271854100
./ERR161268_filtered/snps.bam,5174631,4957864,257872240
./ERR434953_filtered/snps.bam,5174631,5053590,290141103
./ERR474202_filtered/snps.bam,5174631,5168708,297943477
./ERR474111_filtered/snps.bam,5174631,5076172,325326471
./ERR474257_filtered/snps.bam,5174631,5092657,252412149
./SRR933437_filtered/snps.bam,5174631,5012456,242899023
./SRR1314222_filtered/snps.bam,5174631,5106834,382109138
./SRR3143564_filtered/snps.bam,5174631,5097160,274224594
./SRR933421_filtered/snps.bam,5174631,5091068,141480629
./ERR434587_filtered/snps.bam,5174631,5132489,311099285
./ERR435157_filtered/snps.bam,5174631,4912121,312702023
./ERR264251_filtered/snps.bam,5174631,4827960,603137788
./SRR2970698_filtered/snps.bam,5174631,5104370,198504867
./ERR435131_filtered/snps.bam,5174631,5098053,326689666
./SRR933451_filtered/snps.bam,5174631,4978846,163211876
./ERR161296_filtered/snps.bam,5174631,5164972,320588723
./ERR434505_filtered/snps.bam,5174631,5061902,415785783
./ERR474237_filtered/snps.bam,5174631,5092262,317804639
./ERR161317_filtered/snps.bam,5174631,5171192,256940285
./SRR933427_filtered/snps.bam,5174631,5080000,256541548
./ERR474155_filtered/snps.bam,5174631,5062093,296411431
./ERR434780_filtered/snps.bam,5174631,4731001,271518003
./28099_1#175_filtered/snps.bam,5174631,5068647,245052351
./ERR161294_filtered/snps.bam,5174631,5068966,255047148
./ERR474081_filtered/snps.bam,5174631,5045198,322253119
./SRR933365_filtered/snps.bam,5174631,5104007,224827370
./ERR435207_filtered/snps.bam,5174631,4769529,286969204
./SRR3143629_filtered/snps.bam,5174631,5059332,250106107
./SRR1314340_filtered/snps.bam,5174631,5070010,142194061
./ERR434804_filtered/snps.bam,5174631,5059743,236171919
./ERR435058_filtered/snps.bam,5174631,5054160,374518103
./ERR435552_filtered/snps.bam,5174631,4946286,357919659
./SRR933455_filtered/snps.bam,5174631,5110937,116295669
./SRR1314396_filtered/snps.bam,5174631,5145565,239423926
./ERR434445_filtered/snps.bam,5174631,5172067,296406294
./SRR1314321_filtered/snps.bam,5174631,5049518,182359152
./ERR434788_filtered/snps.bam,5174631,4853942,259115248
./ERR161298_filtered/snps.bam,5174631,5099646,279736119
./ERR161270_filtered/snps.bam,5174631,4994298,223073565
./SRR3143619_filtered/snps.bam,5174631,5021313,270422511
./ERR486697_filtered/snps.bam,5174631,5098723,367837209
./SRR2970691_filtered/snps.bam,5174631,5084469,236487863
./15966_8#82_filtered/snps.bam,5174631,4987376,287159610
./ERR435340_filtered/snps.bam,5174631,4755417,273503064
./ERR161284_filtered/snps.bam,5174631,5100783,323664343
./ERR434727_filtered/snps.bam,5174631,5062295,317273678
./ERR435161_filtered/snps.bam,5174631,4906723,304912382
./SRR3143574_filtered/snps.bam,5174631,5061034,288921097
./ERR434338_filtered/snps.bam,5174631,5087741,345632507
./ERR439601_filtered/snps.bam,5174631,5041952,292191225
./ERR474242_filtered/snps.bam,5174631,5008966,278906182
./SRR3143560_filtered/snps.bam,5174631,5041745,410235795
./ERR435087_filtered/snps.bam,5174631,5172014,309532003
./ERR434994_filtered/snps.bam,5174631,5171354,270204760
./15966_8#4_filtered/snps.bam,5174631,4935477,296076212
./ERR439624_filtered/snps.bam,5174631,4740060,254961727
./SRR1314310_filtered/snps.bam,5174631,5103023,218124993
./ERR434690_filtered/snps.bam,5174631,4882413,305910030
./SRR933401_filtered/snps.bam,5174631,5052136,99565967
./ERR474238_filtered/snps.bam,5174631,5070678,272255790
./SRR933471_filtered/snps.bam,5174631,4719694,119956802
./SRR933433_filtered/snps.bam,5174631,5071465,219627610
./26141_1#173_filtered/snps.bam,5174631,5015323,297366379
./ERR434782_filtered/snps.bam,5174631,5142545,213577350
./SRR1314292_filtered/snps.bam,5174631,5089063,299779520
./SRR3143627_filtered/snps.bam,5174631,5044990,308757373
./ERR434844_filtered/snps.bam,5174631,5126350,282510551
./ERR161309_filtered/snps.bam,5174631,5139671,280783243
./ERR435385_filtered/snps.bam,5174631,5098571,280849033
./ERR474089_filtered/snps.bam,5174631,5075259,272508538
./ERR161234_filtered/snps.bam,5174631,5126882,288970154
./ERR161254_filtered/snps.bam,5174631,5166226,232897098
./SRR2970654_filtered/snps.bam,5174631,5041517,421209876
./ERR439581_filtered/snps.bam,5174631,4650560,320586061
./SRR933511_filtered/snps.bam,5174631,5101465,98699290
./ERR434528_filtered/snps.bam,5174631,5100721,386649116
./SRR3143591_filtered/snps.bam,5174631,4768849,377205676
./SRR2970739_filtered/snps.bam,5174631,5075667,362286646
./ERR474058_filtered/snps.bam,5174631,4877686,321953108
./ERR435386_filtered/snps.bam,5174631,5094148,256752330
./ERR435431_filtered/snps.bam,5174631,5149498,290276714
./ERR474164_filtered/snps.bam,5174631,5092134,333024485
./SRR933529_filtered/snps.bam,5174631,5091189,315616874
./ERR435252_filtered/snps.bam,5174631,4614093,320628785
./ERR435030_filtered/snps.bam,5174631,5101717,377411181
./ERR435103_filtered/snps.bam,5174631,5062254,330603791
./ERR161297_filtered/snps.bam,5174631,5170607,263897576
./ERR435001_filtered/snps.bam,5174631,5098661,302149394
./ERR434368_filtered/snps.bam,5174631,5071706,331065850
./ERR264262_filtered/snps.bam,5174631,5071422,450099451
./ERR434539_filtered/snps.bam,5174631,5115167,361245193
./SRR3143579_filtered/snps.bam,5174631,5014754,252958069
./ERR434421_filtered/snps.bam,5174631,5171905,342132493
./ERR434554_filtered/snps.bam,5174631,4765382,386405324
./ERR435567_filtered/snps.bam,5174631,5080927,301475626
./ERR434779_filtered/snps.bam,5174631,5088519,267316174
./ERR474064_filtered/snps.bam,5174631,5171620,297844782
./SRR3143588_filtered/snps.bam,5174631,4896685,412695058
./26141_1#137_filtered/snps.bam,5174631,5090987,232761394
./28099_1#120_filtered/snps.bam,5174631,5024837,213253010
./SRR933525_filtered/snps.bam,5174631,4823810,345746744
./ERR474092_filtered/snps.bam,5174631,5164952,263086216
./ERR434462_filtered/snps.bam,5174631,5066362,328636339
./ERR474152_filtered/snps.bam,5174631,5098394,292384240
./SRR3143571_filtered/snps.bam,5174631,5034560,358937551
./ERR264285_filtered/snps.bam,5174631,5171924,627935510
./ERR161292_filtered/snps.bam,5174631,5140932,316772374
./ERR296672_filtered/snps.bam,5174631,4913229,278459270
./ERR434304_filtered/snps.bam,5174631,5057791,360821625
./ERR161301_filtered/snps.bam,5174631,5005159,270200243
./SRR933359_filtered/snps.bam,5174631,4689419,173794741
./ERR161286_filtered/snps.bam,5174631,5097914,258080303
./ERR474209_filtered/snps.bam,5174631,5087433,397845009
