id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
.28099_1_193.2	0	4	448413	1	100	100%
.28099_2_24.2	0	4	398792	0	99.72%	88%
.28099_1_103.1	0	4	397722	0	100.00%	88%
.28099_1_286.1	0	4	397722	0	100.00%	88%
.28099_1_179.5	1	1	273554	1	100	100%
.28099_1_93.2	2	4	246666	1	100	100%
.26141_1_208.2	2	4	246455	0	95.39%	99%
.28099_1_246.1	2	4	246433	0	95.40%	99%
.28099_1_81.3	2	4	246433	0	95.40%	99%
.28099_1_345.1	3	1	246601	1	100	100%
.28099_1_100.2	4	4	246520	1	100	100%
.28099_1_373.1	4	4	246496	0	100.00%	99%
.28099_1_61.2	4	4	246265	0	95.37%	99%
.28099_1_358.1	4	4	246258	0	95.37%	99%
.28099_1_248.9	5	1	75200	1	100	100%
.28099_1_145.77	6	1	15204	1	100	100%
