ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
26141_1#134	4641652	4035576	475230	33009	2251	0	128595
26141_1#135	4641652	4036080	433715	32773	2484	0	169373
26141_1#136	4641652	4036382	467844	32738	2324	0	135102
26141_1#137	4641652	3903511	551865	91359	3231	0	183045
26141_1#138	4641652	4256838	336497	9662	838	0	47479
26141_1#139	4641652	3906695	551867	89027	2061	0	181029
26141_1#140	4641652	4155345	402512	16373	1450	0	82345
26141_1#141	4641652	4283055	300790	10104	2855	0	54952
26141_1#142	4641652	3854182	605807	84108	2537	0	179126
26141_1#143	4641652	3858413	584409	83968	2237	0	196593
26141_1#144	4641652	4246012	341151	6611	1702	0	52787
26141_1#145	4641652	4036420	363801	26281	3038	0	238393
26141_1#146	4641652	4260908	317361	8364	2136	0	61247
26141_1#147	4641652	4259965	319775	8362	2187	0	59725
26141_1#148	4641652	4165084	364057	38027	2635	0	109876
26141_1#149	4641652	4099889	423754	24045	1577	0	116432
26141_1#150	4641652	3893290	568926	79740	2286	0	177150
26141_1#151	4641652	3916077	544019	79639	2556	0	179000
26141_1#152	4641652	4213890	362277	34386	1315	0	64170
26141_1#153	4641652	3909754	563057	79450	1943	0	166898
26141_1#154	4641652	4175633	379940	37115	1846	0	84233
26141_1#155	4641652	4184843	371268	37426	2462	0	83079
26141_1#156	4641652	3914100	544181	79167	2445	0	180926
26141_1#157	4641652	4212989	366060	34261	1301	0	61302
26141_1#158	4641652	4072239	446487	67953	2500	0	120426
26141_1#159	4641652	4176456	367213	14637	1726	0	96257
26141_1#160	4641652	3849046	594549	77523	2394	0	195663
26141_1#161	4641652	4177580	378516	14618	1570	0	83986
26141_1#162	4641652	4289459	295881	20032	1808	0	54504
26141_1#164	4641652	4037121	407075	24602	3247	0	194209
26141_1#165	4641652	4036945	455702	24596	2270	0	146735
26141_1#166	4641652	3896572	569134	76931	2072	0	173874
26141_1#168	4641652	3852296	615886	76545	2372	0	171098
26141_1#169	4641652	4155476	399682	14481	1582	0	84912
26141_1#170	4641652	4213021	370716	33386	1330	0	56585
26141_1#171	4641652	4199483	284325	30094	17014	0	140830
26141_1#172	4641652	3899147	597732	73381	1771	0	143002
26141_1#173	4641652	3899788	584214	73376	1567	0	156083
26141_1#174	4641652	3921362	555523	73645	2172	0	162595
26141_1#175	4641652	4270064	325642	18103	1429	0	44517
26141_1#176	4641652	4228215	357678	19005	1201	0	54558
26141_1#177	4641652	4047880	491086	64681	1110	0	101576
26141_1#178	4641652	4155276	305546	13088	14401	0	166429
26141_1#179	4641652	4286304	284430	7365	3420	0	67498
26141_1#180	4641652	4051524	497412	59307	993	0	91723
26141_1#181	4641652	4203461	378959	27548	1648	0	57584
26141_1#182	4641652	4269461	322665	7360	828	0	48698
26141_1#183	4641652	4255853	295526	7064	2522	0	87751
26141_1#184	4641652	4158605	407828	30250	1146	0	74073
26141_1#186	4641652	4065768	483559	60025	1592	0	90733
26141_1#187	4641652	4285589	314161	7291	1082	0	40820
26141_1#189	4641652	4065001	467097	58352	2645	0	106909
