>VFG037176(gb|YP_001844723) (plc) phospholipase C [Phospholipase C (VF0470)] [Acinetobacter baumannii ACICU]
>VFG037177(gb|YP_001846906) (plc) phospholipase C [Phospholipase C (VF0470)] [Acinetobacter baumannii ACICU]
>VFG037203(gb|YP_001847849) (plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469)] [Acinetobacter baumannii ACICU]
>VFG037218(gb|YP_001847229) (basJ) acinetobactin biosynthesis protein BasJ [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037232(gb|YP_001847230) (basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037246(gb|YP_001847231) (basH) non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037260(gb|YP_001847232) (barB) siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037274(gb|YP_001847233) (barA) siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037288(gb|YP_001847235) (basG) acinetobactin biosynthesis protein BasF [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037302(gb|YP_001847236) (basF) aryl carrier protein BasF [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037316(gb|YP_001847237) (entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037330(gb|YP_001847238) (basD) acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037344(gb|YP_001847239) (basC) acinetobactin biosynthesis protein BasC [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037358(gb|YP_001847240) (bauA) TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037372(gb|YP_001847241) (bauB) ferric siderophore ABC transporter, periplasmic siderophore-binding protein [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037386(gb|YP_001847242) (bauE) ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037400(gb|YP_001847243) (bauC) ferric siderophore ABC transporter, permease protein BauC [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037414(gb|YP_001847244) (bauD) ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037428(gb|YP_001847246) (basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037442(gb|YP_001847247) (basA) acinetobactin biosynthesis protein [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037456(gb|YP_001847248) (bauF) siderophore-interacting protein [Acinetobactin (VF0467)] [Acinetobacter baumannii ACICU]
>VFG037560(gb|YP_001847079) (csuA/B) Csu pilus major pilin subunit CsuA/B [Csu fimbriae (VF0461)] [Acinetobacter baumannii ACICU]
>VFG037573(gb|YP_001847077) (csuA) Csu pilus subunit CsuA [Csu fimbriae (VF0461)] [Acinetobacter baumannii ACICU]
>VFG037586(gb|YP_001847076) (csuB) Csu pilus subunit CsuB [Csu fimbriae (VF0461)] [Acinetobacter baumannii ACICU]
>VFG037599(gb|YP_001847075) (csuC) Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461)] [Acinetobacter baumannii ACICU]
>VFG037612(gb|YP_001847074) (csuD) Csu pilus usher protein CsuD [Csu fimbriae (VF0461)] [Acinetobacter baumannii ACICU]
>VFG037625(gb|YP_001847073) (csuE) Csu pilus tip adhesin CsuE [Csu fimbriae (VF0461)] [Acinetobacter baumannii ACICU]
>VFG037638(gb|YP_001847597) (bap) biofilm-associated protein [Bap (VF0462)] [Acinetobacter baumannii ACICU]
>VFG037650(gb|YP_001847024) (pgaA) poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA [PNAG (VF0472)] [Acinetobacter baumannii ACICU]
>VFG037664(gb|YP_001847022) (pgaB) poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB [PNAG (VF0472)] [Acinetobacter baumannii ACICU]
>VFG037678(gb|YP_001847021) (pgaC) poly-beta-1,6 N-acetyl-D-glucosamine synthase [PNAG (VF0472)] [Acinetobacter baumannii ACICU]
>VFG037692(gb|YP_001847020) (pgaD) poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD [PNAG (VF0472)] [Acinetobacter baumannii ACICU]
>VFG037705(gb|YP_001847163) (adeF) membrane-fusion protein [AdeFGH efflux pump (VF0504)] [Acinetobacter baumannii ACICU]
>VFG037720(gb|YP_001847164) (adeG) cation/multidrug efflux pump [AdeFGH efflux pump (VF0504)] [Acinetobacter baumannii ACICU]
>VFG037735(gb|YP_001847165) (adeH) outer membrane protein [AdeFGH efflux pump (VF0504)] [Acinetobacter baumannii ACICU]
>VFG038176(gb|YP_001847748) (ompA) outer membrane protein OmpA [OmpA (VF0464)] [Acinetobacter baumannii ACICU]
>VFG038191(gb|YP_001844795) (abaI) N-acyl-L-homoserine lactone synthetase [Quorom sensing (VF0471)] [Acinetobacter baumannii ACICU]
>VFG038205(gb|YP_001844797) (abaR) DNA-binding HTH domain-containing protein [Quorom sensing (VF0471)] [Acinetobacter baumannii ACICU]
>VFG038219(gb|YP_001845364) (bfmR) biofilm-controlling response regulator [BfmRS (VF0463)] [Acinetobacter baumannii ACICU]
>VFG038234(gb|YP_001845365) (bfmS) signal transduction histidine kinase [BfmRS (VF0463)] [Acinetobacter baumannii ACICU]
>VFG037929(gb|YP_858233) (exeA) general secretion pathway protein A [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038264(gb|YP_858234) (exeB) general secretion pathway protein B [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038268(gb|YP_855101) (exeC) general secretion pathway protein C [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038272(gb|YP_855102) (exeD) general secretion pathway protein D [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038276(gb|YP_855103) (exeE) general secretory pathway protein E [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038280(gb|YP_855104) (exeF) general secretion pathway protein F [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038284(gb|YP_855105) (exeG) general secretion pathway protein G [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038288(gb|YP_855106) (exeH) general secretion pathway protein H [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038292(gb|YP_855107) (exeI) general secretion pathway protein I [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038296(gb|YP_855108) (exeJ) general secretion pathway protein J [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038300(gb|YP_855109) (exeK) general secretion pathway protein K [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038304(gb|YP_855110) (exeL) general secretion pathway protein L [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038308(gb|YP_855111) (exeM) general secretion pathway protein M [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038312(gb|YP_855112) (exeN) general secretion pathway protein N [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038316(gb|YP_858310) (tapD/pilD) prepilin peptidase [exe (SS209)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038320(gb|YP_001144270) (ascL) Type III secretion system C ring protein AscL [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038321(gb|YP_001144271) (ascK) Type III secretion system C ring protein AscK [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
