"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"397722"	"28099_1_103.1"	"100.00"	"28099_1_103"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
0	"1"	"448413"	"28099_1_193.2"	"*"	"28099_1_193"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
0	"2"	"397722"	"28099_1_286.1"	"100.00"	"28099_1_286"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
0	"3"	"398792"	"28099_2_24.2"	"99.72"	"28099_2_24"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
1	"0"	"273554"	"28099_1_179.5"	"*"	"28099_1_179"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
2	"0"	"246455"	"26141_1_208.2"	"95.39"	"26141_1_208"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
2	"1"	"246433"	"28099_1_246.1"	"95.40"	"28099_1_246"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
2	"2"	"246433"	"28099_1_81.3"	"95.40"	"28099_1_81"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
2	"3"	"246666"	"28099_1_93.2"	"*"	"28099_1_93"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
3	"0"	"246601"	"28099_1_345.1"	"*"	"28099_1_345"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
4	"0"	"246520"	"28099_1_100.2"	"*"	"28099_1_100"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
4	"1"	"246258"	"28099_1_358.1"	"95.37"	"28099_1_358"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
4	"2"	"246496"	"28099_1_373.1"	"100.00"	"28099_1_373"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
4	"3"	"246265"	"28099_1_61.2"	"95.37"	"28099_1_61"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
5	"0"	"75200"	"28099_1_248.9"	"*"	"28099_1_248"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
6	"0"	"15204"	"28099_1_145.77"	"*"	"28099_1_145"	"contigs-CTX_M_9.clust.clstr"	"len_diff_0.6"
