"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"2168891"	"34154_7_216.1"	"*"	"34154_7_216"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
1	"0"	"2164198"	"34154_7_24.1"	"*"	"34154_7_24"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
2	"0"	"2151036"	"34154_7_4.1"	"*"	"34154_7_4"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
3	"0"	"788357"	"34154_7_100.1"	"100.00"	"34154_7_100"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
3	"1"	"1731872"	"34154_7_142.1"	"*"	"34154_7_142"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
4	"0"	"1218301"	"34154_7_168.1"	"*"	"34154_7_168"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
5	"0"	"826312"	"34154_7_378.1"	"*"	"34154_7_378"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
6	"0"	"820196"	"34154_7_95.2"	"*"	"34154_7_95"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
7	"0"	"820190"	"34154_7_14.1"	"*"	"34154_7_14"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
8	"0"	"788051"	"34154_7_176.1"	"*"	"34154_7_176"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
9	"0"	"579325"	"34154_7_75.2"	"*"	"34154_7_75"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
10	"0"	"210188"	"34154_7_23.10"	"*"	"34154_7_23"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
11	"0"	"139516"	"34154_7_330.12"	"*"	"34154_7_330"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
12	"0"	"128979"	"34154_7_361.14"	"*"	"34154_7_361"	"contigs-SHV_27.clust.clstr"	"seq_ident_1.0"
