snp-dists 0.6.2	15966_8#21	15966_8#57	15966_8#86	15966_8#87	15966_8#88	15966_8#89	15966_8#91	15966_8#93	15966_8#95	16228_1#11	16228_1#13	16228_1#14	16228_1#15	16228_1#18	16228_1#19	16228_1#2	16228_1#21	16228_1#23	16228_1#26	16228_1#28	16228_1#29	16228_1#3	16228_1#30	16228_1#31	16228_1#32	16228_1#34	16228_1#36	16228_1#38	16228_1#39	16228_1#4	16228_1#40	16228_1#47	16228_1#5	16228_1#50	16228_1#51	16228_1#52	16228_1#53	16228_1#54	16228_1#55	16228_1#56	16228_1#57	16228_1#58	16228_1#59	16228_1#6	16228_1#61	16228_1#63	16228_1#64	16228_1#65	16228_1#66	16228_1#67	16228_1#68	16228_1#69	16228_1#7	16228_1#70	16228_1#71	16228_1#72	16228_1#73	16228_1#74	16228_1#75	16228_1#76	16228_1#77	16228_1#78	16228_1#79	16228_1#8	16228_1#80	16228_1#81	16228_1#82	16228_1#83	16228_1#84	16228_1#85	16228_1#9	22036_8#82	22072_1#101	22072_1#102	22072_1#103	22072_1#104	22072_1#105	22072_1#106	22072_1#107	22072_1#108	22072_1#110	22072_1#111	22072_1#112	22072_1#113	22072_1#114	22072_1#117	22072_1#119	22072_1#120	22072_1#121	22072_1#122	22072_1#123	22072_1#124	22072_1#125	22072_1#126	22072_1#127	22072_1#128	22072_1#129	22072_1#130	22072_1#131	22072_1#132	22072_1#134	22072_1#135	22072_1#136	22072_1#137	22072_1#138	22072_1#139	22072_1#140	22072_1#142	22072_1#143	22072_1#144	22072_1#145	22072_1#146	22072_1#147	22072_1#148	22072_1#149	22072_1#150	22072_1#151	22072_1#153	22072_1#154	22072_1#155	22072_1#157	22072_1#159	22072_1#160	22072_1#161	22072_1#162	22072_1#163	22072_1#164	22072_1#165	22072_1#166	22072_1#167	22072_1#168	22072_1#169	22072_1#237	22072_1#238	22072_1#239	22072_1#240	22072_1#241	22072_1#243	22072_1#245	22072_1#246	22072_1#247	22072_1#248	22072_1#249	22072_1#250	22072_1#94	22072_1#95	22072_1#96	22072_1#97	22072_1#98	22072_1#99	34154_7#10	34154_7#100	34154_7#102	34154_7#103	34154_7#104	34154_7#105	34154_7#106	34154_7#108	34154_7#11	34154_7#110	34154_7#112	34154_7#116	34154_7#118	34154_7#119	34154_7#12	34154_7#122	34154_7#123	34154_7#125	34154_7#13	34154_7#130	34154_7#131	34154_7#134	34154_7#136	34154_7#138	34154_7#14	34154_7#140	34154_7#142	34154_7#144	34154_7#146	34154_7#148	34154_7#150	34154_7#152	34154_7#153	34154_7#155	34154_7#158	34154_7#16	34154_7#160	34154_7#162	34154_7#164	34154_7#166	34154_7#168	34154_7#172	34154_7#174	34154_7#176	34154_7#178	34154_7#179	34154_7#18	34154_7#183	34154_7#184	34154_7#185	34154_7#189	34154_7#19	34154_7#191	34154_7#194	34154_7#197	34154_7#199	34154_7#20	34154_7#202	34154_7#204	34154_7#205	34154_7#207	34154_7#210	34154_7#212	34154_7#213	34154_7#216	34154_7#218	34154_7#219	34154_7#22	34154_7#221	34154_7#224	34154_7#226	34154_7#227	34154_7#23	34154_7#231	34154_7#232	34154_7#234	34154_7#235	34154_7#239	34154_7#24	34154_7#240	34154_7#242	34154_7#247	34154_7#248	34154_7#249	34154_7#25	34154_7#252	34154_7#254	34154_7#255	34154_7#259	34154_7#26	34154_7#260	34154_7#262	34154_7#263	34154_7#267	34154_7#268	34154_7#269	34154_7#27	34154_7#271	34154_7#274	34154_7#276	34154_7#277	34154_7#279	34154_7#281	34154_7#283	34154_7#287	34154_7#289	34154_7#291	34154_7#294	34154_7#296	34154_7#298	34154_7#299	34154_7#3	34154_7#30	34154_7#303	34154_7#304	34154_7#306	34154_7#307	34154_7#31	34154_7#312	34154_7#313	34154_7#316	34154_7#317	34154_7#318	34154_7#32	34154_7#322	34154_7#323	34154_7#324	34154_7#325	34154_7#33	34154_7#330	34154_7#331	34154_7#332	34154_7#333	34154_7#338	34154_7#339	34154_7#340	34154_7#343	34154_7#344	34154_7#345	34154_7#348	34154_7#351	34154_7#352	34154_7#353	34154_7#359	34154_7#36	34154_7#360	34154_7#361	34154_7#366	34154_7#367	34154_7#368	34154_7#369	34154_7#374	34154_7#375	34154_7#376	34154_7#378	34154_7#379	34154_7#38	34154_7#380	34154_7#39	34154_7#4	34154_7#40	34154_7#41	34154_7#42	34154_7#44	34154_7#46	34154_7#47	34154_7#48	34154_7#49	34154_7#5	34154_7#50	34154_7#52	34154_7#54	34154_7#55	34154_7#56	34154_7#58	34154_7#59	34154_7#6	34154_7#60	34154_7#62	34154_7#63	34154_7#68	34154_7#69	34154_7#70	34154_7#74	34154_7#75	34154_7#76	34154_7#77	34154_7#78	34154_7#8	34154_7#80	34154_7#83	34154_7#84	34154_7#86	34154_7#87	34154_7#88	34154_7#89	34154_7#90	34154_7#91	34154_7#94	34154_7#95	34154_7#96	34154_7#97	34154_7#98	Reference
15966_8#21	0	220690	296427	269953	727572	140099	293791	194232	338055	805523	226665	287062	284062	275606	312932	269441	252029	260454	228991	178891	365239	271570	244373	308605	221401	240172	243939	346124	260711	712424	232851	344075	313648	185087	294833	240339	250140	797467	247828	226510	135801	298707	270394	201053	282047	244746	317306	249774	282828	308232	311210	264765	286168	229052	223980	232109	186257	227154	845901	262414	318762	187163	243426	276334	255007	310056	295874	321511	216211	323334	301393	323283	309539	309324	337855	256547	341589	369816	341684	3345482	340727	340310	341458	286089	343047	323644	341490	341231	341884	342012	335834	762827	339222	295369	286709	340658	337545	277991	307265	268850	275588	384822	337296	311017	371863	285753	931152	343194	347125	324641	302784	316914	274738	237689	314426	366626	329437	388247	384073	353128	394653	3445963	317839	928091	341004	375643	326662	268568	314538	315829	373323	375580	297669	350622	328763	310596	328819	279600	3181976	717283	211942	346395	288476	751855	288269	283346	343093	280326	240240	305877	336513	319213	324820	193519	297294	331342	238205	171826	310622	830339	294223	325228	242466	319006	324390	186832	362382	249909	206302	314735	297450	231959	314470	314886	242767	281553	311244	335197	249118	377779	328396	289630	788730	248060	307036	282099	233210	285706	243138	338866	296298	238995	334906	375615	289494	311920	291735	282401	297324	285523	830634	821068	301693	229910	271468	279830	314655	297559	307414	858883	245953	303341	654670	250498	276740	393805	251792	313963	301396	232916	192106	356461	253731	301777	286358	355863	338199	315078	309597	332526	247045	736834	187285	855087	256975	813824	278625	354542	249490	238091	250687	242958	387042	191901	234909	355077	254199	303372	189889	251364	251145	293567	188747	235416	300545	355752	243574	290138	296029	299895	333560	197139	243539	285224	278351	274542	342144	289964	249975	782769	288928	379092	313635	301322	363249	308534	354650	357140	415910	330399	284447	259943	245215	332649	313823	171856	293625	293035	315369	308516	251851	354737	242215	271281	303560	253806	245995	307576	234029	249083	174842	352754	276398	244466	303649	355741	281771	340110	251709	277678	285582	873417	290755	303845	242230	173160	302187	290000	231993	321522	271054	321450	170130	357870	352657	179558	191596	238629	256522	233253	866564	357874	301598	324242	301360	298196	232997	809658	326974	170105	267282	321233	141079	265697	233200	293082	267809	197855	234825	242451	280396	294965	198591	574275
15966_8#57	220690	0	274598	240681	680469	223412	253988	187128	324354	806804	18885	252072	269168	277473	261828	272418	232256	239471	228376	231187	380749	239968	36102	321820	192305	95095	37667	248756	239918	712979	110358	262266	279777	241037	261816	186090	235310	807679	276479	35222	196510	250424	271956	250424	254958	37042	233465	258229	190681	308074	256387	282571	266572	40308	13432	202457	241462	105507	835721	198327	234721	243609	38036	281483	47201	275493	264609	292374	44283	294470	272559	295812	305913	304557	298862	92664	300185	357726	299187	3362941	297183	300178	298808	125644	303084	266530	298942	299497	298881	297044	296144	752616	296779	270084	262438	282469	298327	85267	115821	74595	79960	354267	274227	277369	314154	94210	907283	302610	268538	283011	196045	273240	80261	278874	212683	341087	245818	294628	289131	363288	302694	3464880	310059	931465	296757	306036	337185	108976	306929	316127	294411	337008	284043	327980	292167	270435	301351	86308	3162714	696703	242408	309417	252066	721380	93548	87937	301323	262803	226265	301401	296484	276523	289141	263394	256306	342185	35246	182016	238218	814691	288560	292079	40757	344837	288950	178596	321867	250777	198389	273701	333009	28101	273625	274082	212344	247045	268424	329765	250010	280643	302924	258387	766519	252637	343040	274068	90840	279470	102363	303131	302231	53869	329491	321960	258376	265236	303853	271189	249334	295542	835136	826183	292026	63695	249746	265944	274698	233664	298952	875249	104853	319286	673208	50531	294573	301660	239371	272806	291051	205068	261877	259482	222935	249915	279865	259739	302398	274320	330405	297133	108115	732461	196631	875867	262005	818180	239196	257137	110535	95550	251072	101540	336648	261049	92846	257646	238145	285170	222676	236411	50316	287560	222259	92546	321604	257829	55634	296496	306819	290246	328344	189878	55076	245661	239342	249249	336685	261724	250110	758250	260879	298102	272288	302403	347454	259817	258147	260177	286542	292977	246662	230113	104403	297163	296322	182837	305552	305163	304022	235638	66923	257665	56664	254925	304530	245265	215331	320321	206498	182933	183988	255172	249776	56620	277074	259726	271421	367777	245076	296664	296131	865141	260331	293913	60472	183315	292273	261933	30106	267567	276294	268105	180477	307844	271045	189733	261678	210342	190201	205504	861445	260814	322757	288821	275381	333450	226924	812580	280400	180369	251215	285738	202967	224378	226528	288234	252724	254307	92190	211311	270507	301619	255081	540548
15966_8#86	296427	274598	0	239178	701021	279049	200817	259760	304123	814650	277231	197489	247019	242246	174866	236499	265491	257781	243743	265065	387411	239853	293566	258872	276498	254095	292103	241069	258985	670977	267144	247090	201282	273194	215142	278829	281656	817177	351596	285832	268084	210684	237898	280169	250553	295059	214722	260941	261216	273677	271433	264444	271230	284532	276093	301320	274157	260138	824891	306712	216203	274863	293857	288454	301254	221135	257880	294730	284610	123475	220475	298630	309250	312496	226310	307349	226427	381119	229677	3367474	227254	226608	228117	341471	231330	319319	228276	228540	227096	227400	221364	728211	224476	360935	358165	232658	223224	311215	338969	304428	307520	320614	238536	251441	265757	312808	916190	230428	242735	247431	273456	221693	314656	303534	296268	291873	227047	282711	278794	288341	289715	3462641	323072	930187	228806	283092	301585	322231	311143	319936	252222	271297	261931	190997	213219	231626	300962	319782	3191860	656995	300486	233230	260939	709525	317648	318422	229196	289397	286315	307254	221207	191364	209115	286532	223231	328955	290063	264489	301931	790297	276809	212745	293554	271055	209407	253010	229970	237028	285700	225203	251018	281719	225247	226031	227549	236766	185290	289761	236435	270332	287696	294471	768055	275238	260807	256505	257648	240664	258306	228888	283351	297390	290267	270376	294002	248350	245259	285113	221206	272818	812570	802942	354991	305408	305181	364875	225523	338674	262464	873072	261352	259138	718594	294995	266965	308874	343475	223897	354346	262166	285457	249398	239233	215008	241088	250472	223019	225895	313860	218007	256621	778261	266541	902239	294005	795807	303742	248632	262290	261614	237915	258842	248146	284948	258941	249855	299245	255665	284984	342461	301323	275290	284130	259594	337821	249967	300238	220038	247983	352977	288609	282966	301079	308277	306021	261454	296689	232362	235795	806907	231372	279320	224638	116187	288766	235123	252091	251060	302288	329426	241690	294920	260793	218099	232273	266202	246805	246377	362292	301572	315916	249175	299636	360876	116904	271655	231811	248498	264965	257710	267142	247429	263130	302167	183559	250403	247827	368460	271716	267632	274638	850569	296892	355908	307675	266440	354454	232456	284148	178005	284176	177484	264458	258336	254831	271916	284751	266628	265059	263096	902562	253021	338226	208559	181798	251653	236713	822033	263397	264416	358231	206568	274520	258793	235484	89360	358681	290516	259405	228096	246388	256006	292473	497346
15966_8#87	269953	240681	239178	0	649015	268178	235917	278624	276865	762470	246445	184877	198641	180591	255333	175050	252763	178609	221160	231567	282040	216554	264234	215259	264880	241648	263012	230283	178812	615406	259371	241729	211726	241814	193476	219100	285293	735639	300555	261820	273800	197999	175551	251868	255725	263883	207876	125924	272265	209390	186625	202484	207041	266467	243808	224716	241211	257562	783879	245718	209728	244025	262620	184584	273684	208845	71625	295960	263672	253430	94709	297868	216370	217200	235675	290385	240427	307883	242098	3318357	241357	239720	240648	327094	242159	240994	240083	238425	237305	240371	232072	684033	236878	291809	283661	203145	234368	284998	306835	280390	281613	162440	252571	91161	255256	288548	834742	243054	237553	233930	276025	259712	285357	279662	306396	284597	222087	274487	271350	281479	281754	3415794	349046	900131	241565	299021	256070	302262	216683	233759	247380	258611	109104	236030	225292	213140	302201	290564	3133369	631639	325630	218104	190485	694380	291101	292494	241638	248588	308409	211156	231828	277865	219919	263695	194174	249945	258658	236739	251066	764789	220763	224651	262352	252497	220516	268493	251922	210300	302741	212827	245816	250784	212756	213376	197216	64436	269722	268307	209343	259397	273693	232461	720348	182518	255765	207499	241693	188939	246662	240152	246599	276296	269040	335209	231790	290447	196374	200065	199940	229277	787113	777841	265924	280326	221474	274901	213549	280325	168415	818754	248676	211417	638866	266908	224003	296667	260404	211795	265437	245566	262267	236981	208250	249822	190149	236933	234659	213471	277499	229450	255787	696611	246364	819566	259188	770187	216817	235815	259585	245426	210908	246957	329120	262165	243650	236713	279766	157492	315780	258769	268857	219261	315609	243753	231714	237886	278119	208774	199857	264234	267246	298381	278228	224425	219000	185848	275798	52695	209088	755640	51805	276708	211548	264193	287254	211293	237552	240194	315215	219881	50759	247312	248944	228997	230166	237231	197897	197720	269579	248865	283660	236443	277770	275565	265912	232277	200931	240633	245884	197557	238083	234670	187768	278579	280135	238776	157174	292090	231773	226048	229503	805541	234620	268233	278804	237227	266814	52604	252925	259319	221286	258674	235851	297583	251208	243879	262858	248816	204876	244985	818420	240301	232867	220707	277188	246073	161064	778759	304363	235018	272784	217445	279574	164162	161207	241107	273292	268671	243472	197015	156122	222130	269260	562102
15966_8#88	727572	680469	701021	649015	0	748657	697386	686360	778307	739383	686281	708796	705989	690445	699737	685313	705194	694312	690313	724505	726470	687397	698822	679166	731831	678665	702877	657058	695353	233455	692691	670332	691239	719061	703534	693551	710188	745355	732853	701631	729545	650279	686433	739075	735587	698447	682348	697359	718429	721733	717781	709485	724515	703937	683810	715773	718527	686756	747153	672677	684624	720753	703563	696433	713859	728648	675438	773428	702425	707899	645959	774097	718012	723461	710790	726878	715468	733579	716874	3263273	715187	715069	714406	759529	719286	741601	715574	712414	711941	714740	708456	374673	712496	785862	777963	690083	708939	722462	739775	718115	720956	735857	686727	670076	749892	731381	907198	717924	714069	682047	709358	719056	719804	751763	742699	732892	693881	701652	699353	762822	711264	3370451	773098	925803	712006	766298	767152	740216	723037	737074	740057	747898	689963	747199	703041	714876	781629	724067	3043708	306801	760200	711954	710440	312753	727909	729201	716589	712402	725324	718974	708799	712060	696213	751560	700843	756965	696582	706866	716118	715210	723415	700886	693937	736240	696878	723518	728482	703752	728379	718772	741537	689867	718897	718815	676473	664706	703365	706373	703207	684598	757254	742106	320336	699733	751826	700926	674437	699758	679262	711396	757457	704049	706470	772211	741309	723207	658025	689346	648787	739726	766487	761039	704540	717449	726484	746069	719460	711109	688958	443323	681728	671711	699694	699970	743653	728569	758567	718146	704928	698346	750610	663151	686968	718169	700448	661389	710826	719515	786089	705209	685004	333993	716417	806969	738893	754014	720752	658123	690713	678289	703784	679257	776774	750413	675853	662997	757546	701900	744852	750238	703450	722509	744875	675939	654943	661425	708929	700014	661252	703530	707097	723694	709070	726245	718171	700861	713197	644794	702726	690761	644250	701511	717781	714964	770121	648755	663308	664628	739422	651282	647210	718830	681501	703919	693628	707589	658509	659477	716972	714201	721594	661168	705867	774118	716412	709734	678564	734348	698682	688043	709600	659600	702596	709786	710629	660966	634063	653019	710914	740419	740224	795964	743451	707253	713997	707782	705119	644736	689415	701387	721859	701229	707126	766800	675905	716180	749884	702782	694461	697520	814120	664564	655994	697171	708277	741640	656664	727480	731381	706461	772306	694861	733259	640236	657232	714718	772555	758802	676077	675418	632820	701671	759270	1002320
15966_8#89	140099	223412	279049	268178	748657	0	282674	218694	330154	807079	229751	258059	270966	262630	291432	258172	290693	240765	234186	137387	401958	248127	246800	302693	225475	255060	247483	331698	241260	698487	250120	325847	299436	147368	268289	230798	271298	812842	275771	219521	146906	316321	258577	159668	268391	247608	298190	240409	276332	291436	297841	251572	277324	223846	226924	235519	149321	246349	836320	263148	299799	150179	246586	276662	257396	281982	293295	309977	230507	309587	280138	312841	308286	307439	322214	264967	324386	393583	326507	3341508	323599	326391	327798	299790	329068	315027	327072	326310	327582	326383	321957	754736	322452	288528	280395	328831	323150	278429	307247	271461	274444	379423	338075	308491	367190	284486	946467	328300	327967	348131	297423	304791	275531	200665	307425	371495	311513	373549	370122	336588	381663	3441934	333867	942668	325438	354862	321906	268691	311825	314800	350472	349438	295524	343688	312859	283407	316974	280781	3181138	731596	219132	317081	280040	738403	285345	282963	328101	253849	258346	302959	315155	306617	310246	140143	271088	344302	241577	172884	297103	838308	292341	310770	247347	306907	309786	200046	345603	215692	228922	288077	303274	235019	287864	288657	270370	271911	299032	360647	214769	362376	313456	253895	808876	241271	312791	257128	249477	282150	259070	324889	274545	240519	360125	361167	253910	303304	287267	277743	314245	276256	835520	826265	308572	245655	280443	288207	288730	296347	289582	878388	262357	294814	672395	252157	253179	376405	245555	287050	308208	236029	138939	341450	281990	313929	282507	341153	323790	288814	292424	318589	265573	754228	187078	872770	260449	818405	276059	339596	267653	254228	216438	259319	364272	138221	250728	339939	250331	308681	198858	254863	251583	291596	197713	251571	322611	341037	237456	284978	291807	306504	359048	221570	237506	282252	275135	268312	366858	287858	215530	804532	286489	355421	287084	291029	358969	324716	339935	342470	399252	367336	276068	258449	261899	318619	300997	173269	289656	288820	320303	294677	267294	340065	243751	271992	293781	232235	273761	297338	237287	227303	175272	338077	269525	238743	296754	342465	294226	359878	230495	255372	277211	864822	255805	310737	259352	174698	309233	287737	236295	300043	264938	299428	172307	361497	329532	180810	138150	240807	234914	236153	870455	342929	323257	309936	294476	303553	231638	812599	318109	172132	268983	306932	150776	297170	231861	278118	269717	156910	251026	270725	293063	270532	157303	545646
15966_8#91	293791	253988	200817	235917	697386	282674	0	277625	308075	842618	257335	216785	281865	248613	129371	245000	218898	253231	265346	260396	412655	236625	272246	276946	286408	277728	270765	183158	253052	688302	292104	196144	215018	269631	228453	309069	309596	844308	341960	272336	253944	231939	245137	277778	278179	273152	207587	268104	280494	280413	274993	304077	255552	275182	254635	285124	270466	290456	859083	330384	208984	270623	272129	285315	283849	240928	257632	319433	273767	204799	237476	322505	303337	304096	234902	292109	236989	348311	238089	3397994	235275	237629	236746	325067	240783	285426	238738	237285	239121	237073	233393	769144	234456	297929	293746	248284	234330	285640	315067	279021	283040	316178	199981	245128	250724	285338	924093	237202	225539	250647	276228	41263	291946	292740	337447	318333	219278	225804	223168	294771	232680	3490841	352520	967295	238310	278595	301218	307314	306634	311372	231114	267429	281828	201324	228236	268449	325895	301224	3244198	684268	322684	239846	235262	732749	292548	289815	238525	293188	295038	302000	230601	140623	225965	290770	262204	377196	269032	244621	334268	835170	265943	219831	273055	276649	225942	268342	260927	244669	304721	279272	243297	260495	279685	280079	236986	258237	135181	320842	244107	214363	251094	256718	781299	232592	253059	219317	274895	211503	285842	245247	253310	286378	320836	187056	256276	305019	259370	325073	222896	272780	860404	850255	370698	292578	279036	357363	278466	367257	258696	914539	287608	274281	760981	275089	238143	231986	284963	278415	370396	258116	289884	192354	248636	226600	212159	192467	239231	279828	269381	233890	288066	775384	248590	917134	267346	842412	274936	191020	293621	277675	244868	285919	202333	289712	276929	192017	281884	246546	315380	282542	279420	264543	314096	277037	352148	192846	288757	207353	261530	369688	318679	300344	288481	280398	278658	237107	326715	229645	243944	782811	228383	231787	278317	216455	234481	243087	191987	194518	249916	310586	240588	290309	287674	234480	215606	246928	260635	259543	375543	334328	296055	191527	288886	300725	218341	264858	241273	242329	260974	280396	246544	189227	238365	289868	142834	194490	276499	385424	263683	239767	272925	884614	259297	372377	289360	246202	370500	229080	264066	134892	271566	134893	244347	261677	204513	253798	289617	260691	287835	259119	906871	194641	352803	225199	141504	242860	277559	866462	321009	244166	297567	222446	261233	280868	276321	183594	298494	278280	276690	236848	275293	240405	279388	428042
15966_8#93	194232	187128	259760	278624	686360	218694	277625	0	346899	839214	192743	260031	290989	256026	266747	249172	279821	231491	183337	228275	370846	241922	203685	321005	220541	206072	209485	253836	232711	694941	222479	269007	248996	237194	269342	173984	186951	836895	304757	206779	193782	244305	251500	246656	235516	203735	235931	251042	222413	288352	268713	292244	254661	209762	189688	195664	238413	215338	872865	228029	236623	238570	208345	286091	217375	280718	298324	273119	196667	277361	266804	275569	312978	312849	271106	230321	273753	405492	275288	3344943	275170	276184	274404	262417	273027	279300	274276	275567	275589	273348	269352	764030	271732	307204	298763	282580	270334	237853	266922	229902	233416	361535	285954	288896	307721	244366	909676	279904	271661	247737	225210	296365	238008	274609	250752	339796	250210	297680	292402	348562	307879	3442461	275429	938283	274640	316920	339450	248030	316783	318255	293539	316909	312423	308656	261068	301241	282065	243680	3175699	678646	235286	283142	237160	736250	246304	239737	276478	255465	72296	306692	273452	280601	258066	262600	295123	347340	201904	207486	276366	846900	326367	248480	201430	324178	257651	205150	289995	286391	165728	311656	337126	196458	311721	312345	211172	281098	272464	326088	285629	283263	251519	288129	761279	273153	347511	299482	200527	271954	209052	271987	328117	215153	325226	332314	288066	271510	302671	290426	222515	338906	870759	861385	348748	213275	234129	317824	312083	258046	291844	877032	211990	316564	689719	208989	317147	318287	285205	310908	348177	181364	261717	262642	222393	218567	271837	262434	271847	312848	343894	266573	216932	768541	221619	894889	228398	853962	234360	260614	219624	204590	286676	209211	341407	260588	202427	262474	266602	310075	218389	275689	213998	324998	217751	202786	326115	261115	216752	306041	305813	346908	324529	158099	216432	241117	233562	231804	332279	272960	285510	779507	271350	301255	311218	268811	346716	225143	263115	263351	313038	315520	279768	246463	211550	266137	296099	209150	304434	303161	359369	273311	215106	260788	217746	301509	270399	278226	214648	336929	182994	228351	211979	258838	233609	218218	282357	261017	260752	376390	278074	314145	339714	900799	290310	350232	209521	208536	348422	272545	195874	268434	296364	267815	207467	281299	275045	216323	261161	187257	234611	181765	897708	264409	326927	257714	280506	337051	243513	853929	285280	206790	298095	254999	200975	244856	243519	258546	299117	249329	202160	210429	259675	278545	250232	534074
15966_8#95	338055	324354	304123	276865	778307	330154	308075	346899	0	864723	326003	294423	307549	244536	312945	238330	301356	282479	292494	314132	424860	299288	328441	274538	360525	323195	328400	328466	283378	748778	311435	334257	315366	322190	304625	322010	351453	846212	390250	333916	322298	307769	239094	323465	311254	328416	314128	299562	284683	221210	320761	293896	272403	335189	326046	314347	323395	323955	886070	341839	315043	323653	328151	297036	305867	303390	288271	353589	334620	300534	298268	356506	308132	308160	327332	354245	323988	403951	324283	3382781	325514	324629	326230	390261	326997	335769	324261	326728	321316	324854	322418	780787	322343	341516	340286	319204	325966	356547	377409	353152	355224	317840	313456	294972	335276	359550	915190	322483	323143	303834	312735	318340	354495	336800	381401	334547	320004	325825	323484	342880	326671	3473602	420908	958445	326601	298777	107777	365028	302846	305814	310324	298598	296420	275664	322333	318173	358587	359163	3207719	747210	321694	313022	296125	791722	348822	348519	328083	327421	360323	306774	328162	326304	325618	338313	312876	380623	323522	321237	396251	844619	308522	325328	342828	344248	325495	358929	345911	298201	384099	331561	274434	330580	331674	332226	302919	297208	335961	381948	298021	321683	345128	293993	854001	296516	271036	287092	320698	243272	330191	345693	278378	345706	381539	364316	294076	346223	298750	326857	287442	312852	875923	866467	412022	335064	329049	403402	330672	326494	322984	956362	331906	312677	753608	346172	286538	351201	347988	331183	411810	350302	336295	339544	314339	357059	242758	340762	324230	332164	304381	330929	334388	830999	327130	941978	353697	860047	326669	339782	322423	324139	299345	329621	329878	335547	322519	338934	326791	290748	330724	350161	350358	307217	330019	322307	373081	339996	349421	286171	299643	411219	380200	381115	349369	329956	330856	301176	387884	292017	297011	851381	291010	328077	330469	320725	245461	301158	339968	340758	294629	379828	279094	379315	331940	334066	312091	321948	299643	298946	415669	396384	315640	340032	348806	331925	322500	363920	306339	313119	353073	335403	321789	337885	299991	351085	337452	341993	297050	437815	365262	289075	313306	908396	295462	413740	323107	322368	412530	291973	333594	321054	319974	321274	319205	374351	344313	316094	336402	353626	328576	351830	957525	343797	374145	325756	336603	274104	280815	876808	362595	320021	329212	323685	335757	310025	279080	302848	329978	301292	322285	301538	295628	299787	303267	520885
16228_1#11	805523	806804	814650	762470	739383	807079	842618	839214	864723	0	813885	770906	788917	783894	830877	777970	782258	806743	832385	786805	828999	823037	823626	758518	826825	790933	826840	817155	808503	734852	817501	825248	796595	789541	771975	815947	835216	317748	793548	827701	804009	751995	777377	800839	808791	823922	802619	773648	812694	807951	828953	789837	846992	827132	809557	826810	790559	804063	239120	760800	805244	791120	827948	805661	833388	787369	782595	843927	829389	842514	799865	843354	829382	836507	817925	858191	825483	844902	826937	3161086	824288	824187	826013	882877	827703	823464	825170	821589	822427	824934	817729	801733	821496	900470	892826	829059	819172	853967	864571	847465	850993	829917	842406	804013	872454	859898	740155	830789	837136	823562	809621	865162	845237	835974	872350	847765	815907	860775	858264	869110	870858	3276998	896196	507437	823628	889971	843624	872942	839196	851560	862855	873344	824482	873588	810625	762370	850059	847402	2977139	791556	865589	833571	830484	770408	864352	857905	826076	848917	873829	831535	816004	838365	801735	812693	738334	785264	819849	806702	824049	296733	795166	805127	820360	832837	801817	840667	819811	753300	863255	761242	826339	812967	761327	761275	812734	753231	832736	816100	752097	844212	871668	802298	763953	792494	830433	797428	797384	762352	791122	816060	818840	832186	816257	922303	801702	777301	735191	733472	782017	809947	277705	276270	733387	843069	801217	803888	763874	795275	828144	817554	792400	737381	391086	825991	799660	888588	870447	760859	732512	842996	812365	822881	818262	809473	763211	821622	815529	762371	850742	810797	795832	766574	815013	612620	824531	267208	798221	820531	800430	800426	753098	790564	900616	811776	798706	821381	872557	770857	846099	863895	825971	794558	845906	798732	752232	821721	834571	782161	739533	731194	815995	857038	834444	804812	797388	821792	822858	777520	752945	910248	776870	861117	760724	851854	866079	782551	821642	823906	899703	824389	759293	791209	792563	810550	804826	807017	736516	737137	746459	824380	845168	820423	832823	885076	852956	786216	815245	817444	844254	788287	808754	819537	822912	835002	842980	821608	770565	690429	784631	796581	810650	359618	803562	735827	840367	807973	734094	777436	812289	832372	829128	832301	806368	869818	835771	815918	811635	846931	795804	843505	590705	823138	753232	802208	841576	826896	734140	292227	784280	806104	883377	800224	806023	745911	734795	824338	883458	821931	798533	812983	769549	809178	822333	1179062
